DiseaseName,DiseaseCode,Country,CountryCode,Registry,Gender,AgeGroup,Incidence,MortalityRate,Year
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,30-44,3.1,,1955
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,45-59,24.1,,1955
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,60-74,38.72,,1955
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,75-85+,22.75,,1955
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,0-14,0.0,0.0,1956
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,15-29,0.0,0.0,1956
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,30-44,1.56,0.89,1956
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,45-59,5.33,5.33,1956
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,60-74,15.06,17.34,1956
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,75-85+,45.53,38.78,1956
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,0-14,0.0,0.0,1956
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,15-29,0.21,0.41,1956
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,30-44,8.06,6.8,1956
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,45-59,113.82,92.9,1956
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,60-74,338.46,291.66,1956
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,75-85+,234.16,224.27,1956
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,0-14,0.0,,1956
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,15-29,0.0,,1956
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,30-44,0.79,,1956
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,45-59,3.37,,1956
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,60-74,8.23,,1956
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,75-85+,8.01,,1956
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,0-14,0.0,,1956
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,15-29,0.31,,1956
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,30-44,1.04,,1956
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,45-59,25.65,,1956
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,60-74,46.94,,1956
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,75-85+,20.69,,1956
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,0-14,0.0,0.0,1957
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,15-29,0.43,0.0,1957
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,30-44,1.57,1.12,1957
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,45-59,6.96,5.22,1957
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,60-74,22.4,18.82,1957
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,75-85+,39.35,37.71,1957
