rank,Gene_label,Gene_uri,Pathway_label,Pathway_uri,confidence
1,SLC44A1,lucia:gene/ncbigene:23446,WP4973,lucia:pathway/WP4973,0.9986
2,UPB1,lucia:gene/ncbigene:51733,WP4082,lucia:pathway/WP4082,0.9986
3,PXMP2,lucia:gene/ncbigene:5827,WP5028,lucia:pathway/WP5028,0.9978
4,MRPL51,lucia:gene/ncbigene:51258,WP3561,lucia:pathway/WP3561,0.9977
5,SLC44A1,lucia:gene/ncbigene:23446,WP497,lucia:pathway/WP497,0.9976
6,ITPKA,lucia:gene/ncbigene:3706,WP2747,lucia:pathway/WP2747,0.9976
7,UPB1,lucia:gene/ncbigene:51733,WP404,lucia:pathway/WP404,0.9973
8,UGP2,lucia:gene/ncbigene:7360,WP5173,lucia:pathway/WP5173,0.9972
9,DCLRE1A,lucia:gene/ncbigene:9937,WP4946,lucia:pathway/WP4946,0.9972
10,PXMP2,lucia:gene/ncbigene:5827,WP4686,lucia:pathway/WP4686,0.9971
11,NMNAT1,lucia:gene/ncbigene:64802,WP4099,lucia:pathway/WP4099,0.9968
12,PPP1R2,lucia:gene/ncbigene:5504,WP4789,lucia:pathway/WP4789,0.9966
13,ACSL5,lucia:gene/ncbigene:51703,WP5304,lucia:pathway/WP5304,0.9962
14,TCF21,lucia:gene/ncbigene:6943,WP4830,lucia:pathway/WP4830,0.9962
15,SLC44A1,lucia:gene/ncbigene:23446,WP4571,lucia:pathway/WP4571,0.9962
16,GADL1,lucia:gene/ncbigene:339896,WP5002,lucia:pathway/WP5002,0.9961
17,MARCHF6,lucia:gene/ncbigene:10299,WP5153,lucia:pathway/WP5153,0.9961
18,PXMP2,lucia:gene/ncbigene:5827,WP2702,lucia:pathway/WP2702,0.996
19,TYRP1,lucia:gene/ncbigene:7306,WP4148,lucia:pathway/WP4148,0.9959
20,LPAR4,lucia:gene/ncbigene:2846,WP4427,lucia:pathway/WP4427,0.9959
21,TSPOAP1,lucia:gene/ncbigene:9256,WP4433,lucia:pathway/WP4433,0.9958
22,UPB1,lucia:gene/ncbigene:51733,WP4084,lucia:pathway/WP4084,0.9956
23,DEGS2,lucia:gene/ncbigene:123099,WP5194,lucia:pathway/WP5194,0.9956
24,RFC3,lucia:gene/ncbigene:5983,WP3381,lucia:pathway/WP3381,0.9955
25,PXMP2,lucia:gene/ncbigene:5827,WP3556,lucia:pathway/WP3556,0.9955
26,NDUFS2,lucia:gene/ncbigene:4720,WP4106,lucia:pathway/WP4106,0.9953
27,NMNAT1,lucia:gene/ncbigene:64802,WP4994,lucia:pathway/WP4994,0.9952
28,IRF2,lucia:gene/ncbigene:3660,WP5504,lucia:pathway/WP5504,0.9949
29,NDUFA2,lucia:gene/ncbigene:4695,WP4922,lucia:pathway/WP4922,0.9949
30,SLC44A1,lucia:gene/ncbigene:23446,WP106,lucia:pathway/WP106,0.9948
31,ACSL5,lucia:gene/ncbigene:51703,WP4718,lucia:pathway/WP4718,0.9948
32,UGT1A6,lucia:gene/ncbigene:54578,WP4085,lucia:pathway/WP4085,0.9945
33,MRPL51,lucia:gene/ncbigene:51258,WP3392,lucia:pathway/WP3392,0.9943
34,SLC44A1,lucia:gene/ncbigene:23446,WP3574,lucia:pathway/WP3574,0.9941
35,AMPD1,lucia:gene/ncbigene:270,WP4042,lucia:pathway/WP4042,0.994
36,ACSL5,lucia:gene/ncbigene:51703,WP5329,lucia:pathway/WP5329,0.994
37,CFB,lucia:gene/ncbigene:629,WP5148,lucia:pathway/WP5148,0.994
38,B3GALT4,lucia:gene/ncbigene:8705,WP5292,lucia:pathway/WP5292,0.9938
39,RAD51D,lucia:gene/ncbigene:5892,WP3827,lucia:pathway/WP3827,0.9938
40,PFAS,lucia:gene/ncbigene:5198,WP4792,lucia:pathway/WP4792,0.9935
41,PXMP2,lucia:gene/ncbigene:5827,WP5152,lucia:pathway/WP5152,0.9934
42,HEPH,lucia:gene/ncbigene:9843,WP1887,lucia:pathway/WP1887,0.9932
43,ITPKA,lucia:gene/ncbigene:3706,WP5411,lucia:pathway/WP5411,0.9932
44,GPKOW,lucia:gene/ncbigene:27238,WP411,lucia:pathway/WP411,0.9931
45,AMPD1,lucia:gene/ncbigene:270,WP4084,lucia:pathway/WP4084,0.9931
46,HCN1,lucia:gene/ncbigene:348980,WP4148,lucia:pathway/WP4148,0.993
47,ITGA2B,lucia:gene/ncbigene:3674,WP2911,lucia:pathway/WP2911,0.9929
48,NDUFB2,lucia:gene/ncbigene:4708,WP4922,lucia:pathway/WP4922,0.9929
49,UPB1,lucia:gene/ncbigene:51733,WP2717,lucia:pathway/WP2717,0.9929
50,CAMKK2,lucia:gene/ncbigene:10645,WP1885,lucia:pathway/WP1885,0.9928
