rank,Disease_label,Disease_uri,GeneFusion_label,GeneFusion_uri,confidence
1,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,SQSTM1::NTRK2,lucia:gene_fusion/SQSTM1::NTRK2,0.0311
2,Squamous cell carcinoma of lung,lucia:disease/C0149782,SQSTM1::NTRK2,lucia:gene_fusion/SQSTM1::NTRK2,0.0119
3,Carcinoma in situ of lung,lucia:disease/C0685053,ZNRF3::EWSR1,lucia:gene_fusion/ZNRF3::EWSR1,0.0107
4,Carcinoma in situ of lung,lucia:disease/C0685053,CCSER1::MMRN1,lucia:gene_fusion/CCSER1::MMRN1,0.0101
5,Carcinoma in situ of lung,lucia:disease/C0685053,CDKN2A::FOCAD,lucia:gene_fusion/CDKN2A::FOCAD,0.0093
6,adenoid cystic carcinoma of lung,lucia:disease/C1334439,SQSTM1::NTRK2,lucia:gene_fusion/SQSTM1::NTRK2,0.0026
7,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,CCSER1::MMRN1,lucia:gene_fusion/CCSER1::MMRN1,0.002
8,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,ZNRF3::EWSR1,lucia:gene_fusion/ZNRF3::EWSR1,0.0019
9,Carcinoma in situ of lung,lucia:disease/C0685053,ARHGAP5::AKAP6,lucia:gene_fusion/ARHGAP5::AKAP6,0.0015
10,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,LYST::NID1,lucia:gene_fusion/LYST::NID1,0.0014
11,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,KIAA1958::HSDL2,lucia:gene_fusion/KIAA1958::HSDL2,0.0013
12,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,SEPTIN9::DNAH17,lucia:gene_fusion/SEPTIN9::DNAH17,0.0012
13,Carcinoma in situ of lung,lucia:disease/C0685053,SLC34A2::ROS1,lucia:gene_fusion/SLC34A2::ROS1,0.0012
14,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,SND1::BRAF,lucia:gene_fusion/SND1::BRAF,0.001
15,Carcinoma in situ of lung,lucia:disease/C0685053,KIAA1958::HSDL2,lucia:gene_fusion/KIAA1958::HSDL2,0.001
16,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,C3ORF33::PLCH1,lucia:gene_fusion/C3ORF33::PLCH1,0.0009
17,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,DTD1::MACROD2,lucia:gene_fusion/DTD1::MACROD2,0.0009
18,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,ZSWIM4::YJU2B,lucia:gene_fusion/ZSWIM4::YJU2B,0.0009
19,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,PTPRJ::FCER1G,lucia:gene_fusion/PTPRJ::FCER1G,0.0008
20,Carcinoma in situ of lung,lucia:disease/C0685053,CD74::ROS1,lucia:gene_fusion/CD74::ROS1,0.0007
21,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,CAPN13::GALNT14,lucia:gene_fusion/CAPN13::GALNT14,0.0007
22,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,CDKN2A::FOCAD,lucia:gene_fusion/CDKN2A::FOCAD,0.0007
23,Carcinoma in situ of lung,lucia:disease/C0685053,KIF5B::RET,lucia:gene_fusion/KIF5B::RET,0.0006
24,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,ARHGAP5::AKAP6,lucia:gene_fusion/ARHGAP5::AKAP6,0.0006
25,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,CD74::ROS1,lucia:gene_fusion/CD74::ROS1,0.0006
