rank,Disease_label,Disease_uri,ChromoRearr_label,ChromoRearr_uri,confidence
1,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,del(4)(p16p16),lucia:chromo_rearr/del(4)(p16p16),0.8145
2,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,der(15)(q14),lucia:chromo_rearr/der(15)(q14),0.7362
3,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,t(5;9)(q35;q21),lucia:chromo_rearr/t(5;9)(q35;q21),0.0086
4,Squamous cell carcinoma of lung,lucia:disease/C0149782,t(5;9)(q35;q21),lucia:chromo_rearr/t(5;9)(q35;q21),0.004
5,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,t(8;8)(p11;p12),lucia:chromo_rearr/t(8;8)(p11;p12),0.0008
6,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,t(2;2)(q24;q31),lucia:chromo_rearr/t(2;2)(q24;q31),0.0007
7,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,t(1;14)(p36;q24),lucia:chromo_rearr/t(1;14)(p36;q24),0.0007
8,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,t(9;9)(q34;q34),lucia:chromo_rearr/t(9;9)(q34;q34),0.0007
9,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,t(14;14)(q23;q23),lucia:chromo_rearr/t(14;14)(q23;q23),0.0006
10,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,t(4;4)(q21;q21),lucia:chromo_rearr/t(4;4)(q21;q21),0.0005
11,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,t(3;3)(q13;q13),lucia:chromo_rearr/t(3;3)(q13;q13),0.0004
12,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,t(6;6)(q24;q24),lucia:chromo_rearr/t(6;6)(q24;q24),0.0004
13,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,t(9;9)(q32;q32),lucia:chromo_rearr/t(9;9)(q32;q32),0.0004
14,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,t(8;8)(p23;p23),lucia:chromo_rearr/t(8;8)(p23;p23),0.0004
15,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,t(12;12)(p11;q12),lucia:chromo_rearr/t(12;12)(p11;q12),0.0004
