rank,Disease_label,Disease_uri,GeneFusion_label,GeneFusion_uri,confidence
1,"stage, non-small cell lung cancer",lucia:disease/C0280217,ZNRF3::EWSR1,lucia:gene_fusion/ZNRF3::EWSR1,0.0294
2,"stage, non-small cell lung cancer",lucia:disease/C0280217,LAMA3::RMC1,lucia:gene_fusion/LAMA3::RMC1,0.0243
3,"stage, non-small cell lung cancer",lucia:disease/C0280217,KIF5B::RET,lucia:gene_fusion/KIF5B::RET,0.0191
4,"stage, non-small cell lung cancer",lucia:disease/C0280217,SND1::BRAF,lucia:gene_fusion/SND1::BRAF,0.0187
5,"stage, non-small cell lung cancer",lucia:disease/C0280217,ZSWIM4::YJU2B,lucia:gene_fusion/ZSWIM4::YJU2B,0.0184
6,"stage, non-small cell lung cancer",lucia:disease/C0280217,DNAJC1::SKIDA1,lucia:gene_fusion/DNAJC1::SKIDA1,0.0181
7,"stage, non-small cell lung cancer",lucia:disease/C0280217,EZR::ROS1,lucia:gene_fusion/EZR::ROS1,0.0178
8,"stage, non-small cell lung cancer",lucia:disease/C0280217,SDC4::ROS1,lucia:gene_fusion/SDC4::ROS1,0.0178
9,"stage, non-small cell lung cancer",lucia:disease/C0280217,FGFR3::TACC3,lucia:gene_fusion/FGFR3::TACC3,0.0173
10,"stage, non-small cell lung cancer",lucia:disease/C0280217,CAPN13::GALNT14,lucia:gene_fusion/CAPN13::GALNT14,0.0165
11,"stage, non-small cell lung cancer",lucia:disease/C0280217,TMEM87B::MERTK,lucia:gene_fusion/TMEM87B::MERTK,0.0145
12,"stage, non-small cell lung cancer",lucia:disease/C0280217,EML4::ALK,lucia:gene_fusion/EML4::ALK,0.0136
13,Small cell lung cancer limited stage,lucia:disease/C0278725,SQSTM1::NTRK2,lucia:gene_fusion/SQSTM1::NTRK2,0.0135
14,"stage, non-small cell lung cancer",lucia:disease/C0280217,THRA::PSMD3,lucia:gene_fusion/THRA::PSMD3,0.0131
15,Squamous cell carcinoma of lung,lucia:disease/C0149782,SQSTM1::NTRK2,lucia:gene_fusion/SQSTM1::NTRK2,0.0044
16,Carcinoma in situ of lung,lucia:disease/C0685053,ZNRF3::EWSR1,lucia:gene_fusion/ZNRF3::EWSR1,0.0043
17,adenoid cystic carcinoma of lung,lucia:disease/C1334439,SQSTM1::NTRK2,lucia:gene_fusion/SQSTM1::NTRK2,0.003
18,Carcinoma in situ of lung,lucia:disease/C0685053,LAMA3::RMC1,lucia:gene_fusion/LAMA3::RMC1,0.0021
19,Carcinoma in situ of lung,lucia:disease/C0685053,SND1::BRAF,lucia:gene_fusion/SND1::BRAF,0.0015
20,Carcinoma in situ of lung,lucia:disease/C0685053,SDC4::ROS1,lucia:gene_fusion/SDC4::ROS1,0.001
21,Carcinoma in situ of lung,lucia:disease/C0685053,CAPN13::GALNT14,lucia:gene_fusion/CAPN13::GALNT14,0.0009
22,Carcinoma in situ of lung,lucia:disease/C0685053,THRA::PSMD3,lucia:gene_fusion/THRA::PSMD3,0.0007
23,Carcinoma in situ of lung,lucia:disease/C0685053,DNAJC1::SKIDA1,lucia:gene_fusion/DNAJC1::SKIDA1,0.0006
24,Carcinoma in situ of lung,lucia:disease/C0685053,EML4::ALK,lucia:gene_fusion/EML4::ALK,0.0006
25,Carcinoma in situ of lung,lucia:disease/C0685053,FGFR3::TACC3,lucia:gene_fusion/FGFR3::TACC3,0.0005
26,Carcinoma in situ of lung,lucia:disease/C0685053,ZSWIM4::YJU2B,lucia:gene_fusion/ZSWIM4::YJU2B,0.0005
27,Carcinoma in situ of lung,lucia:disease/C0685053,EZR::ROS1,lucia:gene_fusion/EZR::ROS1,0.0004
28,Carcinoma in situ of lung,lucia:disease/C0685053,TMEM87B::MERTK,lucia:gene_fusion/TMEM87B::MERTK,0.0003
29,Carcinoma in situ of lung,lucia:disease/C0685053,KIF5B::RET,lucia:gene_fusion/KIF5B::RET,0.0003
30,Epidermal growth factor receptor positive non-small cell lung cancer,lucia:disease/C1960925,ZNRF3::EWSR1,lucia:gene_fusion/ZNRF3::EWSR1,0.0001
31,"stage, non-small cell lung cancer",lucia:disease/C0280217,TUBD1::USP32,lucia:gene_fusion/TUBD1::USP32,0.0001
32,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,ARHGEF11::SMCP,lucia:gene_fusion/ARHGEF11::SMCP,0.0001
33,"stage, non-small cell lung cancer",lucia:disease/C0280217,RANBP10::SLC12A4,lucia:gene_fusion/RANBP10::SLC12A4,0.0
34,"stage, non-small cell lung cancer",lucia:disease/C0280217,E2F5::CA3,lucia:gene_fusion/E2F5::CA3,0.0
35,Epidermal growth factor receptor positive non-small cell lung cancer,lucia:disease/C1960925,LAMA3::RMC1,lucia:gene_fusion/LAMA3::RMC1,0.0
36,"stage, non-small cell lung cancer",lucia:disease/C0280217,CLIC6::ITSN1,lucia:gene_fusion/CLIC6::ITSN1,0.0
37,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,SDC4::NRG1,lucia:gene_fusion/SDC4::NRG1,0.0
38,"stage, non-small cell lung cancer",lucia:disease/C0280217,CYP4B1::PLA2G1B,lucia:gene_fusion/CYP4B1::PLA2G1B,0.0
39,"stage, non-small cell lung cancer",lucia:disease/C0280217,THRAP3::AGO3,lucia:gene_fusion/THRAP3::AGO3,0.0
40,Non-small cell lung cancer recurrent,lucia:disease/C0278517,CLIC6::ITSN1,lucia:gene_fusion/CLIC6::ITSN1,0.0
41,"stage, non-small cell lung cancer",lucia:disease/C0280217,USP6NL::FAM107B,lucia:gene_fusion/USP6NL::FAM107B,0.0
42,"stage, non-small cell lung cancer",lucia:disease/C0280217,LDLR::SMARCA4,lucia:gene_fusion/LDLR::SMARCA4,0.0
43,Small cell lung cancer limited stage,lucia:disease/C0278725,CLIC6::ITSN1,lucia:gene_fusion/CLIC6::ITSN1,0.0
44,"stage, non-small cell lung cancer",lucia:disease/C0280217,CEP192::TPTE,lucia:gene_fusion/CEP192::TPTE,0.0
45,Epidermal growth factor receptor positive non-small cell lung cancer,lucia:disease/C1960925,SND1::BRAF,lucia:gene_fusion/SND1::BRAF,0.0
46,Squamous cell carcinoma of lung,lucia:disease/C0149782,TUBD1::USP32,lucia:gene_fusion/TUBD1::USP32,0.0
47,Epidermal growth factor receptor positive non-small cell lung cancer,lucia:disease/C1960925,EML4::ALK,lucia:gene_fusion/EML4::ALK,0.0
48,"stage, non-small cell lung cancer",lucia:disease/C0280217,TFDP1::CUL4A,lucia:gene_fusion/TFDP1::CUL4A,0.0
49,"stage, non-small cell lung cancer",lucia:disease/C0280217,TOB1::TTLL6,lucia:gene_fusion/TOB1::TTLL6,0.0
50,"stage, non-small cell lung cancer",lucia:disease/C0280217,FAM222B::UNC5D,lucia:gene_fusion/FAM222B::UNC5D,0.0
