rank,Gene_label,Gene_uri,Pathway_label,Pathway_uri,confidence
1,TET1,lucia:gene/ncbigene:80312,WP2778,lucia:pathway/WP2778,0.999
2,XRCC5,lucia:gene/ncbigene:7520,WP3875,lucia:pathway/WP3875,0.9988
3,ATP5F1C,lucia:gene/ncbigene:509,WP623,lucia:pathway/WP623,0.9986
4,TET1,lucia:gene/ncbigene:80312,WP4135,lucia:pathway/WP4135,0.9984
5,GALNT1,lucia:gene/ncbigene:2589,WP2679,lucia:pathway/WP2679,0.9977
6,ST8SIA6,lucia:gene/ncbigene:338596,WP1424,lucia:pathway/WP1424,0.9977
7,PKP4,lucia:gene/ncbigene:8502,WP5390,lucia:pathway/WP5390,0.9974
8,TET1,lucia:gene/ncbigene:80312,WP3645,lucia:pathway/WP3645,0.9974
9,SSRP1,lucia:gene/ncbigene:6749,WP3827,lucia:pathway/WP3827,0.9973
10,POLR2D,lucia:gene/ncbigene:5433,WP405,lucia:pathway/WP405,0.9972
11,XRCC5,lucia:gene/ncbigene:7520,WP5465,lucia:pathway/WP5465,0.9971
12,SELENON,lucia:gene/ncbigene:57190,WP1857,lucia:pathway/WP1857,0.9971
13,ATP5F1C,lucia:gene/ncbigene:509,WP4922,lucia:pathway/WP4922,0.9967
14,NOTCH2,lucia:gene/ncbigene:4853,WP4147,lucia:pathway/WP4147,0.9966
15,TET1,lucia:gene/ncbigene:80312,WP4059,lucia:pathway/WP4059,0.9965
16,ATP5F1C,lucia:gene/ncbigene:509,WP4324,lucia:pathway/WP4324,0.9965
17,MMP20,lucia:gene/ncbigene:9313,WP2769,lucia:pathway/WP2769,0.9964
18,HSD3B1,lucia:gene/ncbigene:3283,WP2650,lucia:pathway/WP2650,0.9963
19,ATP5F1C,lucia:gene/ncbigene:509,WP4921,lucia:pathway/WP4921,0.9962
20,PIGM,lucia:gene/ncbigene:93183,WP4454,lucia:pathway/WP4454,0.9958
21,HSD3B1,lucia:gene/ncbigene:3283,WP4524,lucia:pathway/WP4524,0.9956
22,ATP5MG,lucia:gene/ncbigene:10632,WP4324,lucia:pathway/WP4324,0.9955
23,CYTH4,lucia:gene/ncbigene:27128,WP4071,lucia:pathway/WP4071,0.995
24,USP19,lucia:gene/ncbigene:10869,WP3644,lucia:pathway/WP3644,0.995
25,SAC3D1,lucia:gene/ncbigene:29901,WP2002,lucia:pathway/WP2002,0.9949
26,COL17A1,lucia:gene/ncbigene:1308,WP3315,lucia:pathway/WP3315,0.9949
27,FBN2,lucia:gene/ncbigene:2201,WP2791,lucia:pathway/WP2791,0.9949
28,USP19,lucia:gene/ncbigene:10869,WP3645,lucia:pathway/WP3645,0.9948
29,ASCL1,lucia:gene/ncbigene:429,WP4830,lucia:pathway/WP4830,0.9947
30,CHTOP,lucia:gene/ncbigene:26097,WP411,lucia:pathway/WP411,0.9947
31,ATP5MG,lucia:gene/ncbigene:10632,WP4922,lucia:pathway/WP4922,0.9947
32,B4GALT2,lucia:gene/ncbigene:8704,WP4521,lucia:pathway/WP4521,0.9947
33,TBX5,lucia:gene/ncbigene:6910,WP4842,lucia:pathway/WP4842,0.9946
34,ST8SIA6,lucia:gene/ncbigene:338596,WP4153,lucia:pathway/WP4153,0.9945
35,GAD1,lucia:gene/ncbigene:2571,WP4224,lucia:pathway/WP4224,0.9945
36,FKBP14,lucia:gene/ncbigene:55033,WP4098,lucia:pathway/WP4098,0.9944
37,TBX5,lucia:gene/ncbigene:6910,WP4814,lucia:pathway/WP4814,0.9944
38,NOTCH2,lucia:gene/ncbigene:4853,WP2722,lucia:pathway/WP2722,0.9943
39,GALNT1,lucia:gene/ncbigene:2589,WP4430,lucia:pathway/WP4430,0.9942
40,HSD3B1,lucia:gene/ncbigene:3283,WP43,lucia:pathway/WP43,0.9941
41,MAGOHB,lucia:gene/ncbigene:55110,WP3797,lucia:pathway/WP3797,0.9941
42,ASCL1,lucia:gene/ncbigene:429,WP5236,lucia:pathway/WP5236,0.9941
43,MCM10,lucia:gene/ncbigene:55388,WP1925,lucia:pathway/WP1925,0.994
44,ASCL1,lucia:gene/ncbigene:429,WP5346,lucia:pathway/WP5346,0.9939
45,ST8SIA6,lucia:gene/ncbigene:338596,WP4521,lucia:pathway/WP4521,0.9938
46,FBN2,lucia:gene/ncbigene:2201,WP2675,lucia:pathway/WP2675,0.9938
47,EPB41L5,lucia:gene/ncbigene:57669,WP5417,lucia:pathway/WP5417,0.9938
48,SPC24,lucia:gene/ncbigene:147841,WP1859,lucia:pathway/WP1859,0.9937
49,B4GALT2,lucia:gene/ncbigene:8704,WP1424,lucia:pathway/WP1424,0.9935
50,PHKG1,lucia:gene/ncbigene:5260,WP5173,lucia:pathway/WP5173,0.9935
