child,childLabel,parent,parentLabel
http://www.openlinksw.com/schemas/oplweb#ProductFormatCategory,Product Format Category,http://www.openlinksw.com/schemas/oplweb#ProductCategory,Product Category
http://www.openlinksw.com/schemas/oplweb#ProductCategoryFeature,Product Category Features,http://www.openlinksw.com/schemas/oplweb#ProductCategory,Product Category
http://www.openlinksw.com/schemas/oplweb#ProductFormatCategory,Product Format Category,http://www.openlinksw.com/schemas/oplweb#ProductFormat,Product Format
http://www.openlinksw.com/schemas/oplweb#ProductFormatFeature,Product Format Features,http://www.openlinksw.com/schemas/oplweb#ProductFormat,Product Format
http://www.openlinksw.com/schemas/oplweb#ProductRelease,Product Release,http://www.openlinksw.com/schemas/oplweb#Product,Product
http://www.openlinksw.com/schemas/oplweb#ProductFeature,Product Features,http://www.openlinksw.com/schemas/oplweb#Product,Product
http://www.openlinksw.com/schemas/oplweb#VendorCategory,vendor_category,http://www.openlinksw.com/schemas/oplweb#VendorCategoryFamily,vendor_category_family
http://www.openlinksw.com/schemas/oplweb#Vendors,vendors,http://www.openlinksw.com/schemas/oplweb#VendorCategory,vendor_category
http://www.openlinksw.com/schemas/oplweb#Opsys,Operating System,http://www.openlinksw.com/schemas/oplweb#OpsysFamily,OS Family
http://www.openlinksw.com/schemas/oplweb#DbmsEngine,DBMS Engine,http://www.openlinksw.com/schemas/oplweb#DbmsFamily,DBMS Family
http://www.openlinksw.com/schemas/oplweb#Opsys,Operating System,http://www.openlinksw.com/schemas/oplweb#OpsysType,OS Type
http://www.openlinksw.com/schemas/oplweb#Processor,Processor,http://www.openlinksw.com/schemas/oplweb#ProcessorFamily,Processor Family
http://www.openlinksw.com/schemas/oplweb#ProductReleaseFeature,Product Benefit,http://www.openlinksw.com/schemas/oplweb#ProductRelease,Product Release
http://www.openlinksw.com/schemas/oplweb#ProductFeature,Product Features,http://www.openlinksw.com/schemas/oplweb#ProductBenefit,Product Benefit
http://www.openlinksw.com/schemas/oplweb#ProductFamilyFeature,Product Family Features,http://www.openlinksw.com/schemas/oplweb#ProductBenefit,Product Benefit
http://www.openlinksw.com/schemas/oplweb#ProductFormatFeature,Product Format Features,http://www.openlinksw.com/schemas/oplweb#ProductBenefit,Product Benefit
http://www.openlinksw.com/schemas/oplweb#ProductCategoryFeature,Product Category Features,http://www.openlinksw.com/schemas/oplweb#ProductBenefit,Product Benefit
http://www.openlinksw.com/schemas/oplweb#ProductReleaseFeature,Product Benefit,http://www.openlinksw.com/schemas/oplweb#ProductBenefit,Product Benefit
http://www.openlinksw.com/schemas/oplweb#ProductBenefit,Product Benefit,http://www.openlinksw.com/schemas/oplweb#ProductBenefitCategory,Product Benefit
http://www.openlinksw.com/schemas/oplweb#ProductFeature,Product Features,http://www.openlinksw.com/schemas/oplweb#ProductFeatureCategory,Product Feature Category
http://www.openlinksw.com/schemas/oplweb#ProductFamilyFeature,Product Family Features,http://www.openlinksw.com/schemas/oplweb#ProductFeatureCategory,Product Feature Category
http://www.openlinksw.com/schemas/oplweb#ProductFormatFeature,Product Format Features,http://www.openlinksw.com/schemas/oplweb#ProductFeatureCategory,Product Feature Category
