rank,Disease_label,Disease_uri,GeneFusion_label,GeneFusion_uri,confidence
1,Squamous cell carcinoma of lung,lucia:disease/C0149782,SQSTM1::NTRK2,lucia:gene_fusion/SQSTM1::NTRK2,0.4874
2,Small cell lung cancer extensive stage,lucia:disease/C0278726,SQSTM1::NTRK2,lucia:gene_fusion/SQSTM1::NTRK2,0.146
3,Lung Acinar Adenocarcinoma,lucia:disease/C1332137,SQSTM1::NTRK2,lucia:gene_fusion/SQSTM1::NTRK2,0.1454
4,Lung Neoplasms,lucia:disease/C0024121,ZNRF3::EWSR1,lucia:gene_fusion/ZNRF3::EWSR1,0.0038
5,Lung Neoplasms,lucia:disease/C0024121,THRA::PSMD3,lucia:gene_fusion/THRA::PSMD3,0.0024
6,Lung Neoplasms,lucia:disease/C0024121,TMEM87B::MERTK,lucia:gene_fusion/TMEM87B::MERTK,0.0019
7,Lung Neoplasms,lucia:disease/C0024121,LAMA3::RMC1,lucia:gene_fusion/LAMA3::RMC1,0.0018
8,Lung Neoplasms,lucia:disease/C0024121,CAPN13::GALNT14,lucia:gene_fusion/CAPN13::GALNT14,0.0017
9,Lung Neoplasms,lucia:disease/C0024121,CD74::ROS1,lucia:gene_fusion/CD74::ROS1,0.0016
10,Lung Neoplasms,lucia:disease/C0024121,LYST::NID1,lucia:gene_fusion/LYST::NID1,0.0012
11,Lung Neoplasms,lucia:disease/C0024121,EML4::ALK,lucia:gene_fusion/EML4::ALK,0.0009
12,Lung Neoplasms,lucia:disease/C0024121,SDC4::NRG1,lucia:gene_fusion/SDC4::NRG1,0.0009
13,Lung Neoplasms,lucia:disease/C0024121,FGFR3::TACC3,lucia:gene_fusion/FGFR3::TACC3,0.0009
14,Lung Neoplasms,lucia:disease/C0024121,CDKN2A::FOCAD,lucia:gene_fusion/CDKN2A::FOCAD,0.0008
15,Carcinoma in situ of lung,lucia:disease/C0685053,CAPN13::GALNT14,lucia:gene_fusion/CAPN13::GALNT14,0.0008
16,Lung Neoplasms,lucia:disease/C0024121,CCSER1::MMRN1,lucia:gene_fusion/CCSER1::MMRN1,0.0007
17,Lung Neoplasms,lucia:disease/C0024121,EZR::ROS1,lucia:gene_fusion/EZR::ROS1,0.0007
18,Lung Neoplasms,lucia:disease/C0024121,KIF5B::RET,lucia:gene_fusion/KIF5B::RET,0.0006
19,Carcinoma in situ of lung,lucia:disease/C0685053,ARHGAP5::AKAP6,lucia:gene_fusion/ARHGAP5::AKAP6,0.0004
20,Lung Neoplasms,lucia:disease/C0024121,DNAJC1::SKIDA1,lucia:gene_fusion/DNAJC1::SKIDA1,0.0004
21,Lung Neoplasms,lucia:disease/C0024121,ARHGAP5::AKAP6,lucia:gene_fusion/ARHGAP5::AKAP6,0.0003
22,Carcinoma in situ of lung,lucia:disease/C0685053,CCSER1::MMRN1,lucia:gene_fusion/CCSER1::MMRN1,0.0002
23,Lung Neoplasms,lucia:disease/C0024121,ZSWIM4::YJU2B,lucia:gene_fusion/ZSWIM4::YJU2B,0.0002
24,Lung Neoplasms,lucia:disease/C0024121,SDC4::ROS1,lucia:gene_fusion/SDC4::ROS1,0.0002
25,Small cell lung cancer recurrent,lucia:disease/C0278727,CAPN13::GALNT14,lucia:gene_fusion/CAPN13::GALNT14,0.0001
26,Lung Neoplasms,lucia:disease/C0024121,SLC34A2::ROS1,lucia:gene_fusion/SLC34A2::ROS1,0.0001
27,Carcinoma in situ of lung,lucia:disease/C0685053,ZSWIM4::YJU2B,lucia:gene_fusion/ZSWIM4::YJU2B,0.0001
28,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,CCSER1::MMRN1,lucia:gene_fusion/CCSER1::MMRN1,0.0001
29,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,SDC4::NRG1,lucia:gene_fusion/SDC4::NRG1,0.0001
30,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,ZNRF3::EWSR1,lucia:gene_fusion/ZNRF3::EWSR1,0.0
31,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,CD74::ROS1,lucia:gene_fusion/CD74::ROS1,0.0
32,Carcinoma in situ of lung,lucia:disease/C0685053,SDC4::ROS1,lucia:gene_fusion/SDC4::ROS1,0.0
33,Small cell lung cancer extensive stage,lucia:disease/C0278726,ARHGAP5::AKAP6,lucia:gene_fusion/ARHGAP5::AKAP6,0.0
34,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,CDKN2A::FOCAD,lucia:gene_fusion/CDKN2A::FOCAD,0.0
35,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,LAMA3::RMC1,lucia:gene_fusion/LAMA3::RMC1,0.0
36,Carcinoma in situ of lung,lucia:disease/C0685053,SDC4::NRG1,lucia:gene_fusion/SDC4::NRG1,0.0
37,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,FGFR3::TACC3,lucia:gene_fusion/FGFR3::TACC3,0.0
38,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,EZR::ROS1,lucia:gene_fusion/EZR::ROS1,0.0
39,Carcinoma in situ of lung,lucia:disease/C0685053,SLC34A2::ROS1,lucia:gene_fusion/SLC34A2::ROS1,0.0
40,Carcinoma in situ of lung,lucia:disease/C0685053,EZR::ROS1,lucia:gene_fusion/EZR::ROS1,0.0
41,Lung Neoplasms,lucia:disease/C0024121,KIAA1958::HSDL2,lucia:gene_fusion/KIAA1958::HSDL2,0.0
42,Carcinoma in situ of lung,lucia:disease/C0685053,TMEM87B::MERTK,lucia:gene_fusion/TMEM87B::MERTK,0.0
43,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,TMEM87B::MERTK,lucia:gene_fusion/TMEM87B::MERTK,0.0
44,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,LYST::NID1,lucia:gene_fusion/LYST::NID1,0.0
45,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,SDC4::ROS1,lucia:gene_fusion/SDC4::ROS1,0.0
46,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,KIF5B::RET,lucia:gene_fusion/KIF5B::RET,0.0
47,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,THRA::PSMD3,lucia:gene_fusion/THRA::PSMD3,0.0
48,Carcinoma in situ of lung,lucia:disease/C0685053,FGFR3::TACC3,lucia:gene_fusion/FGFR3::TACC3,0.0
49,Carcinoma in situ of lung,lucia:disease/C0685053,THRA::PSMD3,lucia:gene_fusion/THRA::PSMD3,0.0
50,Carcinoma in situ of lung,lucia:disease/C0685053,DNAJC1::SKIDA1,lucia:gene_fusion/DNAJC1::SKIDA1,0.0
