rank,Gene_label,Gene_uri,Pathway_label,Pathway_uri,confidence
1,SRRT,lucia:gene/ncbigene:51593,WP411,lucia:pathway/WP411,0.9977
2,GNAS,lucia:gene/ncbigene:2778,WP1892,lucia:pathway/WP1892,0.9973
3,ACADL,lucia:gene/ncbigene:33,WP4724,lucia:pathway/WP4724,0.9973
4,ADGRG2,lucia:gene/ncbigene:10149,WP3608,lucia:pathway/WP3608,0.9971
5,GNAS,lucia:gene/ncbigene:2778,WP4457,lucia:pathway/WP4457,0.9968
6,COPA,lucia:gene/ncbigene:1314,WP1842,lucia:pathway/WP1842,0.9964
7,HS3ST3B1,lucia:gene/ncbigene:9953,WP4784,lucia:pathway/WP4784,0.9961
8,ACADL,lucia:gene/ncbigene:33,WP357,lucia:pathway/WP357,0.9955
9,B3GAT3,lucia:gene/ncbigene:26229,WP1887,lucia:pathway/WP1887,0.9954
10,SEMA3A,lucia:gene/ncbigene:10371,WP1425,lucia:pathway/WP1425,0.9948
11,HADHB,lucia:gene/ncbigene:3032,WP4724,lucia:pathway/WP4724,0.9947
12,DHCR7,lucia:gene/ncbigene:1717,WP4190,lucia:pathway/WP4190,0.9947
13,ACADL,lucia:gene/ncbigene:33,WP4718,lucia:pathway/WP4718,0.9945
14,MICU1,lucia:gene/ncbigene:10367,WP1871,lucia:pathway/WP1871,0.9939
15,MMP25,lucia:gene/ncbigene:64386,WP3945,lucia:pathway/WP3945,0.9938
16,SEMA3A,lucia:gene/ncbigene:10371,WP4830,lucia:pathway/WP4830,0.9936
17,PTGR1,lucia:gene/ncbigene:22949,WP4111,lucia:pathway/WP4111,0.9936
18,GATA2,lucia:gene/ncbigene:2624,WP4110,lucia:pathway/WP4110,0.9936
19,CPT1B,lucia:gene/ncbigene:1375,WP5329,lucia:pathway/WP5329,0.9935
20,ATP5F1A,lucia:gene/ncbigene:498,WP4921,lucia:pathway/WP4921,0.9934
21,ACADL,lucia:gene/ncbigene:33,WP5329,lucia:pathway/WP5329,0.9934
22,KIF1A,lucia:gene/ncbigene:547,WP4071,lucia:pathway/WP4071,0.9931
23,HLA-B,lucia:gene/ncbigene:3106,WP4121,lucia:pathway/WP4121,0.9931
24,GATA2,lucia:gene/ncbigene:2624,WP2799,lucia:pathway/WP2799,0.993
25,HADHB,lucia:gene/ncbigene:3032,WP357,lucia:pathway/WP357,0.9929
26,ATP5F1A,lucia:gene/ncbigene:498,WP4324,lucia:pathway/WP4324,0.9927
27,CES3,lucia:gene/ncbigene:23491,WP3331,lucia:pathway/WP3331,0.9926
28,HADHB,lucia:gene/ncbigene:3032,WP368,lucia:pathway/WP368,0.9923
29,RNF19B,lucia:gene/ncbigene:127544,WP4121,lucia:pathway/WP4121,0.9922
30,TIGIT,lucia:gene/ncbigene:201633,WP3350,lucia:pathway/WP3350,0.9922
31,DHCR7,lucia:gene/ncbigene:1717,WP4189,lucia:pathway/WP4189,0.9922
32,PI4KB,lucia:gene/ncbigene:5298,WP2741,lucia:pathway/WP2741,0.9922
33,HADHB,lucia:gene/ncbigene:3032,WP1878,lucia:pathway/WP1878,0.9922
34,HADHB,lucia:gene/ncbigene:3032,WP5329,lucia:pathway/WP5329,0.9922
35,PQBP1,lucia:gene/ncbigene:10084,WP411,lucia:pathway/WP411,0.9921
36,DHCR7,lucia:gene/ncbigene:1717,WP3963,lucia:pathway/WP3963,0.992
37,LPAR4,lucia:gene/ncbigene:2846,WP4423,lucia:pathway/WP4423,0.9919
38,CES3,lucia:gene/ncbigene:23491,WP2797,lucia:pathway/WP2797,0.9919
39,MMGT1,lucia:gene/ncbigene:93380,WP2717,lucia:pathway/WP2717,0.9917
40,TFIP11,lucia:gene/ncbigene:24144,WP411,lucia:pathway/WP411,0.9916
41,PTGR1,lucia:gene/ncbigene:22949,WP702,lucia:pathway/WP702,0.9916
42,MMGT1,lucia:gene/ncbigene:93380,WP4106,lucia:pathway/WP4106,0.9916
43,GNAS,lucia:gene/ncbigene:2778,WP2669,lucia:pathway/WP2669,0.9915
44,UPF2,lucia:gene/ncbigene:26019,WP2715,lucia:pathway/WP2715,0.9915
45,ACADL,lucia:gene/ncbigene:33,WP5061,lucia:pathway/WP5061,0.9914
46,ARHGAP18,lucia:gene/ncbigene:93663,WP4426,lucia:pathway/WP4426,0.9914
47,GNAS,lucia:gene/ncbigene:2778,WP4456,lucia:pathway/WP4456,0.9913
48,ECHDC1,lucia:gene/ncbigene:55862,WP1795,lucia:pathway/WP1795,0.9912
49,SEMA3A,lucia:gene/ncbigene:10371,WP4094,lucia:pathway/WP4094,0.9912
50,LPAR4,lucia:gene/ncbigene:2846,WP4993,lucia:pathway/WP4993,0.9911
