"Country";"Incidence - Male";"Incidence - Female"
"Spain";"1.7";"0.0"
"EU-27";"0.2";"0.0"
"France";"0.2";"0.2"
"Austria";"0.0";"0.0"
"Belgium";"0.0";"0.0"
"Germany";"0.0";"0.0"
"Luxembourg";"0.0";"0.0"
"Netherlands";"0.0";"0.0"
"Cyprus";"0.0";"0.0"
"Greece";"0.0";"0.0"
"Croatia";"0.0";"0.0"
"Italy";"0.0";"0.0"
"Malta";"0.0";"0.0"
"Portugal";"0.0";"0.1"
"Slovenia";"0.0";"0.0"
"Denmark";"0.0";"0.0"
"Estonia";"0.0";"0.0"
"Finland";"0.0";"0.0"
"Ireland";"0.0";"0.0"
"Lithuania";"0.0";"0.0"
"Latvia";"0.0";"0.0"
"Sweden";"0.0";"0.1"
"Bulgaria";"0.0";"0.0"
"Czechia";"0.0";"0.1"
"Hungary";"0.0";"0.0"
"Poland";"0.0";"0.0"
"Romania";"0.0";"0.0"
"Slovakia";"0.0";"0.0"

2024 estimates: Incidence/mortality by sex
Incidence, EU-27, Trachea, bronchus and lung, Both sexes, 0 to 14 years, 2024

Notes:
"Age-Standardised Rate (European 2013) per 100,000"

Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu, accessed on 03-03-2026
(c) European Union, 2026
