DiseaseCui,DiseaseName,GeneFusion
C0149782,Squamous cell carcinoma of lung,ADAMTS3::SNX30
C0149782,Squamous cell carcinoma of lung,MYBBP1A::ANKFY1
C0149782,Squamous cell carcinoma of lung,THAP7::NRG1
C0149782,Squamous cell carcinoma of lung,SP3::STK39
C0149782,Squamous cell carcinoma of lung,BSDC1::HDAC1
C0149782,Squamous cell carcinoma of lung,KIAA1958::HSDL2
C0149782,Squamous cell carcinoma of lung,SF1::EHD1
C0149782,Squamous cell carcinoma of lung,MYBBP1A::FGF11
C0149782,Squamous cell carcinoma of lung,PRKAR2B::HMCN1
C0149782,Squamous cell carcinoma of lung,ZNF704::PAG1
C0149782,Squamous cell carcinoma of lung,EP300::TTC28
C0149782,Squamous cell carcinoma of lung,PPP6R3::ARHGAP1
C0149782,Squamous cell carcinoma of lung,STK32B::SMIM14
C0149782,Squamous cell carcinoma of lung,EFNA3::CKS1B
C0149782,Squamous cell carcinoma of lung,NFE2L1::LRRC46
C0149782,Squamous cell carcinoma of lung,NARS2::ALG8
C0149782,Squamous cell carcinoma of lung,RBM38::FRMD4B
C0149782,Squamous cell carcinoma of lung,WNK2::SECISBP2
C0149782,Squamous cell carcinoma of lung,NUDT3::DNAH8
C0149782,Squamous cell carcinoma of lung,EYS::DEK
C0149782,Squamous cell carcinoma of lung,SPPL2A::TNFAIP8L3
C0149782,Squamous cell carcinoma of lung,ABCG1::CCDC134
C0149782,Squamous cell carcinoma of lung,RTKN::CTF1
C0149782,Squamous cell carcinoma of lung,CDC25A::SPINK8
C0149782,Squamous cell carcinoma of lung,ATP13A4::NAALADL2
C0149782,Squamous cell carcinoma of lung,ROCK1::ABHD3
C0149782,Squamous cell carcinoma of lung,PRKDC::PPDPFL
C0149782,Squamous cell carcinoma of lung,SREBF2::RNF214
C0149782,Squamous cell carcinoma of lung,NAB1::GULP1
C0149782,Squamous cell carcinoma of lung,RPL7L1::CDK8
C0149782,Squamous cell carcinoma of lung,BCAS3::MARCHF10
C0149782,Squamous cell carcinoma of lung,SPG11::CD9
C0149782,Squamous cell carcinoma of lung,DIDO1::RPS4X
C0149782,Squamous cell carcinoma of lung,RB1::CNIH3
C0149782,Squamous cell carcinoma of lung,TBC1D22A::FBLN1
C0149782,Squamous cell carcinoma of lung,PLEKHG4B::PDCD6
C0149782,Squamous cell carcinoma of lung,ATP11A::F7
C0149782,Squamous cell carcinoma of lung,FOCAD::ELAVL2
C0149782,Squamous cell carcinoma of lung,EEF2K::FAM241B
C0149782,Squamous cell carcinoma of lung,KCNK5::KIF6
C0149782,Squamous cell carcinoma of lung,MAP3K5::PERP
C0149782,Squamous cell carcinoma of lung,ZNF625::SCAMP4
C0149782,Squamous cell carcinoma of lung,AKAP9::CDK14
C0149782,Squamous cell carcinoma of lung,MROH1::DYNLT2B
C0149782,Squamous cell carcinoma of lung,KDM4A::EGLN1
C0149782,Squamous cell carcinoma of lung,MSL2::OPRM1
C0149782,Squamous cell carcinoma of lung,CLPB::FCHSD2
C0149782,Squamous cell carcinoma of lung,SSR3::MAP2K3
C0149782,Squamous cell carcinoma of lung,PSD4::IL1RN
C0149782,Squamous cell carcinoma of lung,PPP1CA::PPP2R3C
C0149782,Squamous cell carcinoma of lung,SMARCA4::CARM1
C0149782,Squamous cell carcinoma of lung,USP34::ZNF2
C0149782,Squamous cell carcinoma of lung,TANC2::PRKCA
C0149782,Squamous cell carcinoma of lung,RPRD2::PRPF3
C0149782,Squamous cell carcinoma of lung,ARHGAP42::SBF2
C0149782,Squamous cell carcinoma of lung,ABCD3::AK5
C0149782,Squamous cell carcinoma of lung,ZNF714::SIGLECL1
C0149782,Squamous cell carcinoma of lung,COL1A1::BGN
C0149782,Squamous cell carcinoma of lung,ECHDC1::MYO6
C0149782,Squamous cell carcinoma of lung,MED20::TLL2
C0149782,Squamous cell carcinoma of lung,ITGB4::SMIM6
C0149782,Squamous cell carcinoma of lung,ANKRD27::ZFP14
C0149782,Squamous cell carcinoma of lung,ZFHX3::WWP2
C0149782,Squamous cell carcinoma of lung,EFNA3::FLAD1
