PathwayDiseaseAssociation,PathwayId,PathwayName,DiseaseCui,DiseaseName,GeneProductId,GeneProductName
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,CYCS,CYCS
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,CYCS,CYCS
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,DDB2,DDB2
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,DDB2,DDB2
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,E2F1,E2F1
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,E2F1,E2F1
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,E2F2,E2F2
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,E2F2,E2F2
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,E2F3,E2F3
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,E2F3,E2F3
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,EGF,EGF
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,EGFR,EGFR
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,EML4,EML4
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,ERBB2,ERBB2
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,FHIT,FHIT
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,FHIT,FHIT
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,FN1,FN1
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,FOXO3,FOXO3
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,GADD45A,GADD45A
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,GADD45A,GADD45A
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,GADD45B,GADD45B
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,GADD45B,GADD45B
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,GADD45G,GADD45G
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,GADD45G,GADD45G
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,GRB2,GRB2
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,HRAS,HRAS
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,IKBKB,IKBKB
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,IKBKG,IKBKG
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,ITGA2,ITGA2
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,ITGA2B,ITGA2B
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,ITGA3,ITGA3
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,ITGA6,ITGA6
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,ITGAV,ITGAV
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,ITGB1,ITGB1
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,JAK3,JAK3
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,KRAS,KRAS
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,LAMA1,LAMA1
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,LAMA2,LAMA2
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,LAMA3,LAMA3
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,LAMA4,LAMA4
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,LAMA5,LAMA5
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,LAMB1,LAMB1
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,LAMB2,LAMB2
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,LAMB3,LAMB3
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,LAMB4,LAMB4
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,LAMC1,LAMC1
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,LAMC2,LAMC2
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,LAMC3,LAMC3
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,MAP2K1,MAP2K1
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,MAP2K2,MAP2K2
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,MAPK1,MAPK1
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,MAPK3,MAPK3
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,MAX,MAX
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,MYC,MYC
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,NFKB1,NFKB1
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,NFKBIA,NFKBIA
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,NFKBIB,NFKBIB
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,NOS2,NOS2
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,NRAS,NRAS
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,PDK1,PDK1
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,PIK3CA,PIK3CA
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,PIK3CA,PIK3CA
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,PIK3CB,PIK3CB
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,PIK3CB,PIK3CB
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,PIK3CD,PIK3CD
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,PIK3CD,PIK3CD
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,PIK3R1,PIK3R1
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,PIK3R1,PIK3R1
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,PIK3R2,PIK3R2
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,PIK3R2,PIK3R2
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,PIK3R3,PIK3R3
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,PIK3R3,PIK3R3
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,PLCG1,PLCG1
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,PLCG2,PLCG2
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,POLK,POLK
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,POLK,POLK
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,PRKCA,PRKCA
