DiseaseCui,DiseaseName,ChromosomalRearrengementName,ChromosomalRearrengementType
C0149782,Squamous cell carcinoma of lung,t(17;17)(q21;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;8)(p11;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(q21;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;15)(p11;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;15)(q21;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;15)(p21;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;10)(q26;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;11)(q22;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(q21;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(p26;p26),Translocations
C0149782,Squamous cell carcinoma of lung,t(16;18)(p13;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;9)(p12;p23),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(q36;q36),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(p21;p21),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;5)(q26;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(q25;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;17)(p15;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;10)(p14;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;14)(q32;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;14)(q24;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(q21;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;9)(q13;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;22)(p12;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q24;q31),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;9)(q32;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;7)(q25;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(22;22)(q12;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;11)(p11;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;4)(p14;p16),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;11)(q14;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;20)(p14;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;9)(q22;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(p22;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(15;15)(q21;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(21;22)(q22;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;16)(p13;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(p21;p21),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q26;q29),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;8)(q11;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;22)(q23;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;13)(p21;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(q23;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;15)(p13;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;20)(q13;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;13)(q42;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(22;22)(q13;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(13;13)(q34;q34),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;16)(q22;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(19;19)(p13;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(q21;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;8)(q29;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(p34;q42),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;6)(q22;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q14;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;14)(q13;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(p15;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(q23;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(19;19)(p12;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(q14;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;10)(p21;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;22)(q22;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q26;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(q25;q31),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;3)(p34;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;4)(p16;p16),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;7)(p22;p14),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;3)(p31;p21),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;4)(q34;q34),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q22;q29),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(p36;p36),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;17)(q33;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;11)(q21;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(q24;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;11)(q22;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;16)(p12;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;12)(q24;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;10)(p21;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;14)(q24;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;5)(q35;q35),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;18)(q13;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;22)(p11;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;20)(p34;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q13;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q22;q33),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;11)(q31;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(p15;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(q22;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;12)(p15;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;5)(p22;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q29;q29),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(p11;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q31;q33),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;19)(p11;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(22;22)(q11;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;8)(q32;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q25;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(18;18)(p11;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;12)(q21;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;14)(q12;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;14)(q23;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q21;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;3)(p33;q29),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;11)(q21;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(p11;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;11)(q22;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;11)(q23;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;10)(q25;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(22;22)(q11;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q24;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(21;21)(q22;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;17)(q37;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;8)(p11;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;17)(p21;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(18;18)(q21;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;7)(p22;p22),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;17)(q26;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;9)(q16;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(p11;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;12)(p11;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;4)(q26;p16),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q13;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(q22;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;14)(q21;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;4)(q13;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;15)(q13;q15),Translocations
C0149782,Squamous cell carcinoma of lung,t(20;20)(q11;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;15)(q11;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(20;20)(p12;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;9)(p13;p21),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;9)(q22;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q28;q28),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;8)(q21;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;12)(p25;q24),Translocations
