DiseaseCui,DiseaseName,ChromosomalRearrengementName,ChromosomalRearrengementType
C0149782,Squamous cell carcinoma of lung,t(1;9)(q32;p21),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;4)(q26;q31),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;8)(q21;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q11;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;12)(q13;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q27;q28),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(p21;p21),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q28;q29),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;11)(p11;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q34;q36),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;20)(q21;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(20;20)(q11;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(q32;q44),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;X)(p11;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q29;q28),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q23;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(18;18)(q11;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;17)(p12;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;5)(q33;q33),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;5)(p34;q31),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;10)(q23;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(15;21)(q15;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;19)(p23;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(q27;p25),Translocations
C0149782,Squamous cell carcinoma of lung,t(15;15)(q13;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;4)(q29;p16),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q32;q37),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;9)(p21;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;9)(q21;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;21)(p14;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;15)(q22;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(15;19)(q23;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(18;22)(q12;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;10)(p12;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;17)(q21;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(21;22)(q21;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;5)(q25;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;20)(p11;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(13;13)(q14;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(16;16)(p11;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;4)(q12;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;12)(q13;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(p24;p25),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(q36;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(q25;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(p35;p36),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;12)(q12;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;19)(q33;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(20;20)(p11;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(p13;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q21;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q36;q36),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;18)(p34;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;8)(p21;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;16)(p26;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q26;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;18)(q26;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;22)(p13;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;15)(p13;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;5)(q14;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(p14;p14),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;9)(q22;q34),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(q12;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(19;19)(p13;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;8)(q13;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(16;16)(q13;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q22;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q14;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(q14;q15),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;5)(q11;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;7)(p13;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q31;q31),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q35;q35),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;14)(q22;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;5)(q31;q31),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;18)(p13;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;22)(q13;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q11;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(q24;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(q31;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;4)(p12;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;7)(q28;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(16;17)(q22;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;15)(q32;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q13;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;12)(p12;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(p21;p22),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;13)(p13;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(18;19)(q11;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;10)(q24;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(p14;p16),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;8)(q22;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(20;20)(p12;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;19)(q11;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;6)(q26;p21),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;22)(q23;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;12)(q24;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(p31;p34),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;12)(p13;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;12)(p11;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(15;15)(q24;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;8)(q21;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;11)(q12;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;14)(q22;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(p12;p22),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;19)(p33;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(p14;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;3)(q21;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;12)(q21;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(q44;q44),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;22)(p36;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;11)(q34;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;15)(q26;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;6)(p36;p22),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(q32;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(p11;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;4)(q21;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(p12;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;14)(q22;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q24;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(19;19)(p12;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;3)(q31;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;19)(q42;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;4)(q31;q31),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;10)(q22;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;14)(q26;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;5)(q14;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(q32;q41),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;12)(q26;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;13)(q11;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;2)(q44;q34),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;5)(q12;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(p13;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;12)(p13;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(18;18)(p11;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;11)(p13;p14),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;15)(p23;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;11)(p31;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(p12;p24),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(q36;q34),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;9)(p21;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;11)(p22;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(18;19)(p11;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;17)(q35;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;22)(q25;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(q22;q36),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;6)(p26;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q27;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;15)(q33;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(p11;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;X)(p11;p22),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;8)(q22;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;6)(q34;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;5)(q32;q33),Translocations
C0149782,Squamous cell carcinoma of lung,t(15;15)(q26;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;14)(q24;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;13)(q21;q33),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;14)(q11;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;8)(q22;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;7)(q13;p14),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q23;q35),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;14)(p24;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;14)(p12;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;21)(q11;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(q41;q31),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;3)(p13;q27),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;17)(p22;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;19)(p12;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;20)(p13;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;20)(p22;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;9)(q34;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;7)(p34;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(16;16)(q24;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(p12;p14),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;14)(q13;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;10)(p21;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;10)(p13;p14),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(p14;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(p11;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;9)(q22;p23),Translocations
C0149782,Squamous cell carcinoma of lung,t(18;18)(q12;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;8)(q25;p23),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(p23;p24),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q21;q33),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;12)(q21;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;7)(p22;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;14)(q24;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q29;q27),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;20)(q36;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;9)(p25;q34),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(p22;p22),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;16)(p15;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;20)(q13;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(15;15)(q22;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(q11;q36),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;12)(q23;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;17)(q13;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q22;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;20)(p21;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;11)(q35;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;21)(q12;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;10)(p32;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;14)(q22;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(q22;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;6)(p13;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(q22;q33),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;19)(p11;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;13)(p24;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;5)(q25;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;11)(q26;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(16;16)(p11;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;22)(p13;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;16)(p12;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(p23;q33),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;5)(q32;q31),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;10)(p25;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;10)(p12;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;4)(p14;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;8)(q12;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;15)(p24;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;20)(q23;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(p15;q33),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;20)(q22;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(15;19)(q24;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(p16;p23),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(p11;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(q23;q43),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;14)(q11;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;10)(q23;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(q21;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(15;15)(q14;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(q11;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;10)(q13;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;14)(q28;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(p22;p31),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(p34;q44),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;10)(p11;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;10)(q34;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;17)(q29;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(16;16)(p12;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;12)(p36;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;6)(q35;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;12)(q32;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(p23;q37),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;14)(q11;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(15;15)(q15;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;14)(p36;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;14)(q24;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;8)(q11;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(20;20)(p11;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(20;20)(q13;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;11)(p15;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(20;20)(p13;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(q23;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;7)(q25;q36),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;22)(q31;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;9)(q26;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(16;19)(q24;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(p13;p35),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;20)(q33;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;19)(p15;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;8)(q35;p23),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;8)(p12;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;17)(p12;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;20)(q21;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;9)(q21;q31),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;18)(q33;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;17)(p13;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(p12;p21),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;16)(p15;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;15)(p16;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;8)(p11;p23),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;6)(p22;p22),Translocations
C0149782,Squamous cell carcinoma of lung,t(13;14)(q34;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;6)(q28;p22),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;3)(q21;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;11)(p25;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;19)(p11;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q23;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;12)(q25;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;10)(p11;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(15;15)(q14;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(p22;p22),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;5)(p13;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(p25;p25),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;5)(q27;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;19)(q24;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;22)(q15;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;5)(p12;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;2)(p12;p16),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(p31;p22),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;11)(q13;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;19)(p21;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;16)(q32;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(q12;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;12)(p13;q15),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;4)(q28;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;X)(q28;q28),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;4)(p12;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;20)(q21;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;8)(p21;p22),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;4)(p36;q35),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;14)(q13;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(19;19)(q13;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;17)(q14;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;13)(q23;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;7)(q26;q36),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;13)(q24;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;7)(p14;p14),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;1)(p11;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;5)(p36;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;20)(q25;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(20;20)(q12;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;3)(q37;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;17)(p24;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(q26;q27),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;5)(p14;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;3)(q11;q27),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(q21;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q21;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;21)(q32;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(q16;q16),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;12)(p21;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;10)(q13;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;16)(q32;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;14)(q23;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;10)(q21;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;X)(q21;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q21;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(q21;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;18)(p21;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q22;q32),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;18)(p12;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;18)(p13;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;10)(q27;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;9)(p16;p21),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;10)(q36;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;9)(q33;q33),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;17)(q13;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(16;22)(p13;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;20)(q23;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(14;14)(q11;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(p12;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;4)(q21;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(18;21)(q12;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q11;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(13;13)(q33;q33),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;21)(p11;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;14)(q23;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;4)(q12;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(q11;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;11)(q32;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;12)(p11;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;10)(p31;p14),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(p14;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;5)(p15;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;19)(q13;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(13;19)(q14;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;9)(p24;p24),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(p12;q29),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;8)(p11;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;11)(p13;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q33;q37),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;3)(q12;q27),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;3)(q32;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(16;16)(q23;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;8)(q13;q13),Translocations
