Country,Incidence,Mortality,age,gender,disease_id,disease_name,year,country_id,age_code,ethnicity,people_id,vs_id
Germany,0.1,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,DE,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_DE_15-29_male_undefined
Ireland,0.4,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,IE,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_IE_15-29_male_undefined
Italy,0.3,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,IT,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_IT_15-29_male_undefined
Latvia,0.7,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,LV,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_LV_15-29_male_undefined
Netherlands,0.3,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,NL,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_NL_15-29_male_undefined
Portugal,0.2,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,PT,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_PT_15-29_male_undefined
Romania,0.4,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,RO,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_RO_15-29_male_undefined
Spain,0.1,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,ES,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_ES_15-29_male_undefined
Sweden,0.2,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,SE,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_SE_15-29_male_undefined
Austria,4.9,0.7,30-44,Female,C0242379,Malignant neoplasm of lung,2022,AT,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_AT_30-44_female_undefined
Belgium,3.9,0.3,30-44,Female,C0242379,Malignant neoplasm of lung,2022,BE,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_BE_30-44_female_undefined
Bulgaria,4.9,3.9,30-44,Female,C0242379,Malignant neoplasm of lung,2022,BG,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_BG_30-44_female_undefined
Croatia,2.1,0.3,30-44,Female,C0242379,Malignant neoplasm of lung,2022,HR,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_HR_30-44_female_undefined
Cyprus,2.7,1.0,30-44,Female,C0242379,Malignant neoplasm of lung,2022,CY,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_CY_30-44_female_undefined
Czechia,1.8,0.7,30-44,Female,C0242379,Malignant neoplasm of lung,2022,CZ,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_CZ_30-44_female_undefined
Denmark,2.8,1.4,30-44,Female,C0242379,Malignant neoplasm of lung,2022,DK,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_DK_30-44_female_undefined
EU-27,2.6,0.9,30-44,Female,C0242379,Malignant neoplasm of lung,2022,EU-27,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_EU-27_30-44_female_undefined
Finland,1.4,,30-44,Female,C0242379,Malignant neoplasm of lung,2022,FI,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_FI_30-44_female_undefined
France,5.3,2.0,30-44,Female,C0242379,Malignant neoplasm of lung,2022,FR,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_FR_30-44_female_undefined
Germany,0.5,0.4,30-44,Female,C0242379,Malignant neoplasm of lung,2022,DE,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_DE_30-44_female_undefined
Greece,0.4,0.3,30-44,Female,C0242379,Malignant neoplasm of lung,2022,GR,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_GR_30-44_female_undefined
Ireland,3.0,,30-44,Female,C0242379,Malignant neoplasm of lung,2022,IE,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_IE_30-44_female_undefined
Italy,1.5,0.5,30-44,Female,C0242379,Malignant neoplasm of lung,2022,IT,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_IT_30-44_female_undefined
Latvia,2.2,1.1,30-44,Female,C0242379,Malignant neoplasm of lung,2022,LV,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_LV_30-44_female_undefined
Lithuania,4.0,1.1,30-44,Female,C0242379,Malignant neoplasm of lung,2022,LT,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_LT_30-44_female_undefined
Luxembourg,1.4,1.4,30-44,Female,C0242379,Malignant neoplasm of lung,2022,LU,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_LU_30-44_female_undefined
Malta,1.9,1.9,30-44,Female,C0242379,Malignant neoplasm of lung,2022,MT,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_MT_30-44_female_undefined
Netherlands,4.8,,30-44,Female,C0242379,Malignant neoplasm of lung,2022,NL,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_NL_30-44_female_undefined
Portugal,4.7,2.0,30-44,Female,C0242379,Malignant neoplasm of lung,2022,PT,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_PT_30-44_female_undefined
Romania,5.4,3.6,30-44,Female,C0242379,Malignant neoplasm of lung,2022,RO,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_RO_30-44_female_undefined
Slovakia,0.2,0.2,30-44,Female,C0242379,Malignant neoplasm of lung,2022,SK,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_SK_30-44_female_undefined
Slovenia,1.4,,30-44,Female,C0242379,Malignant neoplasm of lung,2022,SI,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_SI_30-44_female_undefined
Spain,4.2,1.0,30-44,Female,C0242379,Malignant neoplasm of lung,2022,ES,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_ES_30-44_female_undefined
Sweden,2.4,,30-44,Female,C0242379,Malignant neoplasm of lung,2022,SE,30-44 years,undefined,people_30-44_female_undefined,vstat_C0242379_SE_30-44_female_undefined
Austria,4.2,,30-44,Male,C0242379,Malignant neoplasm of lung,2022,AT,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_AT_30-44_male_undefined
Belgium,3.7,0.1,30-44,Male,C0242379,Malignant neoplasm of lung,2022,BE,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_BE_30-44_male_undefined
Bulgaria,5.6,2.5,30-44,Male,C0242379,Malignant neoplasm of lung,2022,BG,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_BG_30-44_male_undefined
Croatia,5.0,,30-44,Male,C0242379,Malignant neoplasm of lung,2022,HR,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_HR_30-44_male_undefined
Cyprus,5.3,2.0,30-44,Male,C0242379,Malignant neoplasm of lung,2022,CY,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_CY_30-44_male_undefined
Czechia,2.5,,30-44,Male,C0242379,Malignant neoplasm of lung,2022,CZ,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_CZ_30-44_male_undefined
Denmark,2.4,0.4,30-44,Male,C0242379,Malignant neoplasm of lung,2022,DK,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_DK_30-44_male_undefined
Estonia,4.2,,30-44,Male,C0242379,Malignant neoplasm of lung,2022,EE,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_EE_30-44_male_undefined
EU-27,2.2,0.7,30-44,Male,C0242379,Malignant neoplasm of lung,2022,EU-27,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_EU-27_30-44_male_undefined
