REF_AREA,Reference area,Pollutant,Measure,Unit of measure,TIME_PERIOD,OBS_VALUE,Frequency of observation
NL11,Groningen,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,16.953316,Annual
NL12,Friesland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,16.573961,Annual
NL13,Drenthe,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,16.756618,Annual
NL21,Overijssel,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,18.035688,Annual
NL22,Gelderland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,19.773903,Annual
NL23,Flevoland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,17.333536,Annual
NL31,Utrecht (TL2021),Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,19.646175,Annual
NL32,North Holland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,19.121637,Annual
NL33,South Holland (TL2021),Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,19.606384,Annual
NL34,Zeeland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,19.298265,Annual
NL41,North Brabant,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,19.576141,Annual
NL42,Limburg,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,18.054474,Annual
NO02,Innlandet,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,9.8803444,Annual
NO06,Trøndelag,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,7.9848671,Annual
NO07,Northern Norway,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,6.9232731,Annual
NO08,Oslo and Viken,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,13.14981,Annual
NO09,Agder and Sør-Østlandet,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,11.475906,Annual
NZ11,Northland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,5.4872365,Annual
NZ12,Auckland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,6.3142028,Annual
NZ13,Waikato,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,6.0193596,Annual
NZ14,Bay of Plenty,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,6.1117868,Annual
NZ15,Gisborne,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,6.6898007,Annual
NZ16,Hawke's Bay,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,6.5957308,Annual
NZ17,Taranaki,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,6.7089715,Annual
NZ18,Manawatu-Wanganui,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,6.0854383,Annual
NZ19,Wellington,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,5.7589073,Annual
NZ21,Tasman-Nelson-Marlborough,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,7.411674,Annual
NZ22,West Coast,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,7.2151055,Annual
NZ23,Canterbury,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,8.4405985,Annual
NZ24,Otago,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,7.5743098,Annual
NZ25,Southland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,7.4718699,Annual
PL21,Lesser Poland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,32.14016,Annual
PL22,Silesia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,34.768909,Annual
PL41,Greater Poland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,25.37282,Annual
PL42,West Pomerania,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,16.589563,Annual
PL43,Lubusz,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,20.357979,Annual
PL51,Lower Silesia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,24.243057,Annual
PL52,Opole region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,26.756212,Annual
PL61,Kuyavian-Pomerania,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,21.586016,Annual
PL62,Warmian-Masuria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,18.858459,Annual
PL63,Pomerania,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,17.75206,Annual
PL71,Lodzkie,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,28.850914,Annual
PL72,Swietokrzyskie,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,26.126862,Annual
PL81,Lublin Province,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,23.334379,Annual
PL82,Podkarpacia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,25.243162,Annual
PL84,Podlaskie,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,20.159271,Annual
PL91,Warsaw,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,24.789639,Annual
PL92,Mazowiecki region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,24.623281,Annual
PT11,North,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,14.201525,Annual
PT15,Algarve,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,13.382007,Annual
PT16,Centro,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,13.345841,Annual
PT17,Metropolitan area of Lisbon,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,14.653647,Annual
PT18,Alentejo,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,11.547703,Annual
PT20,Autonomous Region of the Azores,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,9.6722012,Annual
PT30,Autonomous Region of Madeira,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,7.6052427,Annual
RO11,North West,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,19.240211,Annual
RO12,Center,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,18.178751,Annual
RO21,North East,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,19.317236,Annual
RO22,South East,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,16.873398,Annual
RO31,South - Muntenia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,20.34479,Annual
RO32,Bucharest - Ilfov,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,29.289124,Annual
RO41,South West Oltenia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,22.187447,Annual
RO42,West,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,17.79822,Annual
SE11,Stockholm,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,8.8721018,Annual
SE12,East Middle Sweden,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,8.8789654,Annual
SE21,Småland with Islands,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,9.698143,Annual
SE22,South Sweden,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,12.838598,Annual
SE23,West Sweden,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,10.868147,Annual
SE31,North Middle Sweden,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,8.8458233,Annual
SE32,Central Norrland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,7.074707,Annual
SE33,Upper Norrland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,6.9495087,Annual
SI03,Eastern Slovenia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,20.587568,Annual
SI04,Western Slovenia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,20.168304,Annual
SK01,Bratislava Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,19.729342,Annual
SK02,West Slovakia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,20.399279,Annual
SK03,Central Slovakia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,22.35758,Annual
SK04,East Slovakia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,21.83359,Annual
TR10,Istanbul,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,24.084408,Annual
TR21,Thrace,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,23.855511,Annual
TR22,Southern Marmara - West,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,21.34902,Annual
TR31,Izmir,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,20.178106,Annual
TR32,Southern Aegean,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,26.172989,Annual
TR33,Northern Aegean,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,24.974592,Annual
TR41,Eastern Marmara - South,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,25.719437,Annual
TR42,Eastern Marmara - North,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,24.824112,Annual
TR51,Ankara,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,20.257334,Annual
TR52,Central Anatolia - West and South,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,22.315567,Annual
TR61,Mediterranean region - West,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,25.622747,Annual
TR62,Mediterranean region - Middle,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,24.434536,Annual
TR63,Mediterranean region - East,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,25.136675,Annual
TR71,Central Anatolia - Middle,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,19.586998,Annual
TR72,Central Anatolia - East,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,21.026604,Annual
TR81,Western Black Sea - West,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,29.263643,Annual
TR82,Western Black Sea - Middle and East,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,19.784746,Annual
TR83,Middle Black Sea,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,19.024635,Annual
TR90,Eastern Black Sea,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,20.077017,Annual
TRA1,Northeastern Anatolia - West,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,21.254528,Annual
TRA2,Northeastern Anatolia - East,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,23.132086,Annual
TRB1,Eastern Anatolia - West,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,21.989815,Annual
TRB2,Eastern Anatolia - East,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,22.190699,Annual
TRC1,Southeastern Anatolia - West,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,25.122305,Annual
TRC2,Southeastern Anatolia - Middle,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,22.472868,Annual
TRC3,Southeastern Anatolia - East,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,22.931618,Annual
UKC,North East England,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,13.464512,Annual
UKD,North West England,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,15.973322,Annual
UKE,Yorkshire and The Humber,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,17.880957,Annual
UKF,East Midlands,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,17.267626,Annual
UKG,West Midlands,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,16.843409,Annual
UKH,East of England,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,16.739155,Annual
UKI,Greater London,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,18.081902,Annual
UKJ,South East England,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,16.342968,Annual
UKK,South West England,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,14.479554,Annual
UKL,Wales,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,13.952296,Annual
UKM,Scotland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,10.341306,Annual
UKN,Northern Ireland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,12.240454,Annual
US01,Alabama,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,14.644305,Annual
US02,Alaska,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,6.5440555,Annual
US04,Arizona,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,12.019191,Annual
US05,Arkansas,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,12.523249,Annual
US06,California,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,14.757459,Annual
US08,Colorado,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,8.1455431,Annual
US09,Connecticut,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,10.756701,Annual
US10,Delaware,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,13.257452,Annual
US11,District of Columbia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,14.942546,Annual
US12,Florida,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,11.216098,Annual
US13,Georgia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,15.100844,Annual
US15,Hawaii,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,5.6380897,Annual
US16,Idaho,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,7.379848,Annual
US17,Illinois,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,14.32459,Annual
US18,Indiana,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,13.842711,Annual
US19,Iowa,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,10.874761,Annual
US20,Kansas,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,10.944904,Annual
US21,Kentucky,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,14.257913,Annual
US22,Louisiana,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,13.006254,Annual
US23,Maine,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,6.5467744,Annual
US24,Maryland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,13.575052,Annual
US25,Massachusetts,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,9.5998983,Annual
US26,Michigan,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,11.776444,Annual
US27,Minnesota,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,9.2629747,Annual
US28,Mississippi,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,13.28907,Annual
US29,Missouri,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,12.432321,Annual
US30,Montana,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,7.3792934,Annual
US31,Nebraska,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,9.6263933,Annual
US32,Nevada,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,9.424367,Annual
US33,New Hampshire,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,8.0888338,Annual
US34,New Jersey,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,13.198921,Annual
US35,New Mexico,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,7.7386723,Annual
US36,New York,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,12.376875,Annual
US37,North Carolina,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,14.336202,Annual
US38,North Dakota,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,7.2613053,Annual
US39,Ohio,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,14.212866,Annual
US40,Oklahoma,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,11.947564,Annual
US41,Oregon,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,7.7984109,Annual
US42,Pennsylvania,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,14.274055,Annual
US44,Rhode Island,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,10.130148,Annual
US45,South Carolina,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,14.109988,Annual
US46,South Dakota,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,7.9407673,Annual
US47,Tennessee,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,13.468343,Annual
US48,Texas,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,12.747617,Annual
US49,Utah,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,9.4312439,Annual
US50,Vermont,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,8.076642,Annual
US51,Virginia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,12.848214,Annual
US53,Washington,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,8.2871046,Annual
US54,West Virginia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,14.166023,Annual
US55,Wisconsin,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,11.184338,Annual
US56,Wyoming,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2000,6.1421847,Annual
AT11,Burgenland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,18.0744,Annual
AT12,Lower Austria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,18.174616,Annual
AT13,Vienna,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,20.808762,Annual
AT21,Carinthia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,15.945609,Annual
AT22,Styria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,18.941795,Annual
AT31,Upper Austria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,17.506882,Annual
AT32,Salzburg,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,15.773171,Annual
AT33,Tyrol,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,15.488519,Annual
AT34,Vorarlberg,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,15.630314,Annual
AU1,New South Wales,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,7.5872102,Annual
AU2,Victoria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,7.6287141,Annual
AU3,Queensland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,6.339963,Annual
AU4,South Australia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,6.213799,Annual
AU5,Western Australia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,8.2745895,Annual
AU6,Tasmania,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,6.5388727,Annual
AU7,Northern Territory,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,8.2212276,Annual
AU8,Australian Capital Territory,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,6.4893913,Annual
BE1,Brussels-Capital Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,19.531738,Annual
BE2,Flemish Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,18.334007,Annual
BE3,Walloon Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,16.592104,Annual
BG31,North West,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,26.553165,Annual
BG32,North Central,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,24.787769,Annual
BG33,North East,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,18.89901,Annual
BG34,South East,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,20.560936,Annual
BG41,South West,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,27.229839,Annual
BG42,South Central,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,27.204521,Annual
CA10,Newfoundland and Labrador,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,6.0675068,Annual
CA11,Prince Edward Island,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,6.233171,Annual
CA12,Nova Scotia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,7.4048157,Annual
CA13,New Brunswick,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,7.2112741,Annual
CA24,Quebec,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,10.864734,Annual
CA35,Ontario,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,10.686554,Annual
CA46,Manitoba,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,6.5021544,Annual
CA47,Saskatchewan,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,8.5135956,Annual
CA48,Alberta,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,8.3299284,Annual
CA59,British Columbia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,7.9536614,Annual
CA60,Yukon,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,4.7806787,Annual
CA61,Northwest Territories,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,6.0786934,Annual
CA62,Nunavut,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,3.9089103,Annual
CH01,Lake Geneva Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,15.755794,Annual
CH02,Espace Mittelland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,14.056028,Annual
CH03,Northwestern Switzerland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,16.317791,Annual
CH04,Zurich,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,15.924421,Annual
CH05,Eastern Switzerland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,13.895215,Annual
CH06,Central Switzerland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,15.365613,Annual
CH07,Ticino,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,20.847872,Annual
CL01,Tarapacá,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,16.689274,Annual
CL02,Antofagasta,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,15.029369,Annual
CL03,Atacama,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,17.267841,Annual
CL04,Coquimbo,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,16.044638,Annual
CL05,Valparaíso,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,19.902937,Annual
CL06,O'Higgins,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,28.697924,Annual
CL07,Maule,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,27.466883,Annual
CL08,Biobío,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,23.925322,Annual
CL09,Araucanía,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2001,33.238483,Annual
