REF_AREA,Reference area,Pollutant,Measure,Unit of measure,TIME_PERIOD,OBS_VALUE,Frequency of observation
CL05,Valparaíso,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,19.167023,Annual
CL06,O'Higgins,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,28.806261,Annual
CL07,Maule,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,28.72122,Annual
CL08,Biobío,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,23.654612,Annual
CL09,Araucanía,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,33.370499,Annual
CL10,Los Lagos,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,34.067772,Annual
CL11,Aysén,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,41.588177,Annual
CL12,Magallanes and Chilean Antarctica,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,7.9068065,Annual
CL13,Santiago Metropolitan Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,31.511297,Annual
CL14,Los Ríos,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,36.237923,Annual
CL15,Arica y Parinacota,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,21.497766,Annual
CL16,Ñuble,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,28.36446,Annual
CO05,Antioquia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,33.184837,Annual
CO08,Atlántico,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,20.509884,Annual
CO11,Bogotá Capital District,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,26.089905,Annual
CO13,Bolívar,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,22.536493,Annual
CO15,Boyacá,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,24.851713,Annual
CO17,Caldas,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,32.011513,Annual
CO18,Caquetá,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,20.695444,Annual
CO19,Cauca,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,18.18173,Annual
CO20,Cesar,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,23.037062,Annual
CO23,Córdoba,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,25.56086,Annual
CO25,Cundinamarca,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,26.843586,Annual
CO27,Chocó,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,25.255375,Annual
CO41,Huila,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,22.36454,Annual
CO44,La Guajira,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,18.265116,Annual
CO47,Magdalena,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,21.060009,Annual
CO50,Meta,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,23.340878,Annual
CO52,Nariño,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,15.393886,Annual
