"Country";"Incidence - Male";"Incidence - Female"
"Hungary";"13.2";"0.2"
"Greece";"4.5";"2.2"
"Poland";"4.2";"1.7"
"Estonia";"3.0";"0.0"
"Italy";"2.8";"0.5"
"Portugal";"2.7";"1.1"
"Latvia";"2.4";"0.0"
"France";"2.3";"1.2"
"Slovakia";"2.0";"0.7"
"EU-27";"1.8";"1.0"
"Cyprus";"1.8";"0.9"
"Czechia";"1.6";"0.6"
"Sweden";"0.8";"0.9"
"Romania";"0.6";"0.3"
"Germany";"0.3";"1.4"
"Denmark";"0.2";"2.2"
"Bulgaria";"0.2";"0.0"
"Spain";"0.1";"1.1"
"Austria";"0.0";"0.0"
"Belgium";"0.0";"0.0"
"Luxembourg";"0.0";"0.0"
"Netherlands";"0.0";"1.5"
"Croatia";"0.0";"0.0"
"Malta";"0.0";"0.0"
"Slovenia";"0.0";"2.0"
"Finland";"0.0";"0.0"
"Ireland";"0.0";"0.0"
"Lithuania";"0.0";"0.5"

2024 estimates: Incidence/mortality by sex
Incidence, EU-27, Trachea, bronchus and lung, Both sexes, 15 to 29 years, 2024

Notes:
"Age-Standardised Rate (European 2013) per 100,000"

Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu, accessed on 03-03-2026
(c) European Union, 2026
