DiseaseCui,DiseaseName,Incidence,MortalityRate,DemographicGroup
C0242379,Malignant neoplasm of lung,83.59999847412109375,69.59999847412109375,ES_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,391.899993896484375,359.899993896484375,ES_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,2.5999999046325683594,0.89999997615814208984,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_30-44_female_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_30-44_female_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_30-44_female_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_30-44_female_undefined
C0242379,Malignant neoplasm of lung,2.2000000476837158203,0.69999998807907104492,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_30-44_male_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_30-44_male_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_30-44_male_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_30-44_male_undefined
C0242379,Malignant neoplasm of lung,43.700000762939453125,29.100000381469726562,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_45-59_female_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_45-59_female_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_45-59_female_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_45-59_female_undefined
C0242379,Malignant neoplasm of lung,67.90000152587890625,50.59999847412109375,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_45-59_male_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_45-59_male_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_45-59_male_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_45-59_male_undefined
C0242379,Malignant neoplasm of lung,128.100006103515625,91.0,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_60-74_female_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_60-74_female_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_60-74_female_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_60-74_female_undefined
C0242379,Malignant neoplasm of lung,267.70001220703125,205.0,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_60-74_male_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_60-74_male_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_60-74_male_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_60-74_male_undefined
C0242379,Malignant neoplasm of lung,149.100006103515625,129.6999969482421875,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_75-85%2B_female_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_75-85%2B_female_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_75-85%2B_female_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,399.20001220703125,364.600006103515625,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_75-85%2B_male_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_75-85%2B_male_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_75-85%2B_male_undefined_http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#vitalstatistics/vstat_C0242379_EU-27_75-85%2B_male_undefined
