"Country";"Mortality - Male";"Mortality - Female"
"Greece";"450.7";"95.1"
"Poland";"442.7";"154.4"
"Hungary";"423.5";"188.8"
"Estonia";"421.1";"94.7"
"Croatia";"419.8";"136.2"
"Italy";"407.1";"129.9"
"Denmark";"392.3";"298.6"
"Latvia";"389.3";"77.0"
"Netherlands";"377.3";"207.7"
"Belgium";"376.5";"138.4"
"Cyprus";"354.4";"97.9"
"Portugal";"347.9";"82.8"
"Lithuania";"344.8";"66.2"
"Spain";"343.7";"70.8"
"EU-27";"342.8";"126.2"
"Czechia";"335.1";"141.1"
"Slovenia";"328.4";"148.7"
"Luxembourg";"325.7";"151.3"
"Slovakia";"323.4";"100.4"
"France";"322.2";"116.0"
"Malta";"321.3";"71.1"
"Ireland";"305.9";"214.0"
"Germany";"287.0";"131.4"
"Finland";"270.6";"128.0"
"Romania";"265.0";"77.2"
"Austria";"262.3";"146.3"
"Bulgaria";"259.2";"56.3"
"Sweden";"211.0";"190.1"

2024 estimates: Incidence/mortality by sex
Mortality, EU-27, Trachea, bronchus and lung, Both sexes, 75 to 85+ years, 2024

Notes:
"Age-Standardised Rate (European 2013) per 100,000"

Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu, accessed on 03-03-2026
(c) European Union, 2026
