ChemicalId,ChemicalName,CityId,CountryName,CityName,Value,Units,Population
C5890534,Particulate matter (PM2.5),FR_annec_6d78,France,Annecy,10.8,Microgramos por metro cúbico (µg/m³),126924
C5890534,Particulate matter (PM2.5),ES_ceuta_dcc0,Spain,Ceuta,8.3,Microgramos por metro cúbico (µg/m³),84202
C5890534,Particulate matter (PM2.5),PT_lisbo_66a0,Portugal,Lisboa (greater city),7,Microgramos por metro cúbico (µg/m³),1872036
C5890534,Particulate matter (PM2.5),ES_jan_4394,Spain,Jaén,9.5,Microgramos por metro cúbico (µg/m³),112757
C5890534,Particulate matter (PM2.5),LU_luxem_068b,Luxembourg,Luxembourg,7.6,Microgramos por metro cúbico (µg/m³),115227
C5890534,Particulate matter (PM2.5),FR_frjus_03eb,France,Fréjus,8.9,Microgramos por metro cúbico (µg/m³),87714
C5890534,Particulate matter (PM2.5),ES_barce_dea5,Spain,Barcelona,13.7,Microgramos por metro cúbico (µg/m³),3755512
C5890534,Particulate matter (PM2.5),DE_gttin_a24d,Germany,Göttingen,7.2,Microgramos por metro cúbico (µg/m³),118911
C5890534,Particulate matter (PM2.5),IT_baghe_d758,Italy,Bagheria,12.1,Microgramos por metro cúbico (µg/m³),53409
C5890534,Particulate matter (PM2.5),IT_laspe_06c0,Italy,La Spezia,11.3,Microgramos por metro cúbico (µg/m³),92550
C5890534,Particulate matter (PM2.5),PL_legni_e0e0,Poland,Legnica,17.3,Microgramos por metro cúbico (µg/m³),99752
C5890534,Particulate matter (PM2.5),FR_rouen_e76e,France,Rouen,9.9,Microgramos por metro cúbico (µg/m³),309039
C5890534,Particulate matter (PM2.5),DK_rhus_5072,Denmark,Århus,7.7,Microgramos por metro cúbico (µg/m³),319094
C5890534,Particulate matter (PM2.5),IT_brind_2ce1,Italy,Brindisi,11.7,Microgramos por metro cúbico (µg/m³),84465
C5890534,Particulate matter (PM2.5),FR_dunke_876d,France,Dunkerque,11,Microgramos por metro cúbico (µg/m³),135715
C5890534,Particulate matter (PM2.5),IT_ragus_2932,Italy,Ragusa,12.2,Microgramos por metro cúbico (µg/m³),71438
C5890534,Particulate matter (PM2.5),IT_trevi_99f8,Italy,Treviso,20.7,Microgramos por metro cúbico (µg/m³),85456
C5890534,Particulate matter (PM2.5),IT_laqui_88cf,Italy,L'Aquila,10.3,Microgramos por metro cúbico (µg/m³),70019
C5890534,Particulate matter (PM2.5),IT_foggi_742d,Italy,Foggia,11.5,Microgramos por metro cúbico (µg/m³),149673
C5890534,Particulate matter (PM2.5),SE_uppsa_1db4,Sweden,Uppsala,3.5,Microgramos por metro cúbico (µg/m³),219914
C5890534,Particulate matter (PM2.5),ES_telde_40a4,Spain,Telde,9.7,Microgramos por metro cúbico (µg/m³),102791
C5890534,Particulate matter (PM2.5),DE_hanau_0199,Germany,Hanau,7.8,Microgramos por metro cúbico (µg/m³),96492
C5890534,Particulate matter (PM2.5),DE_mnche_06ec,Germany,München,8.5,Microgramos por metro cúbico (µg/m³),1484226
C5890534,Particulate matter (PM2.5),PL_pozna_0781,Poland,Poznan,17.7,Microgramos por metro cúbico (µg/m³),536438
C5890534,Particulate matter (PM2.5),BE_antwe_63c7,Belgium,Antwerpen,11.1,Microgramos por metro cúbico (µg/m³),530014
C5890534,Particulate matter (PM2.5),FR_creil_98d7,France,Creil,9.9,Microgramos por metro cúbico (µg/m³),75375
C5890534,Particulate matter (PM2.5),IT_barle_9a70,Italy,Barletta,11.4,Microgramos por metro cúbico (µg/m³),93275
C5890534,Particulate matter (PM2.5),NO_berge_a280,Norway,Bergen,5,Microgramos por metro cúbico (µg/m³),267950
C5890534,Particulate matter (PM2.5),FR_mulho_2336,France,Mulhouse,10.2,Microgramos por metro cúbico (µg/m³),180040
C5890534,Particulate matter (PM2.5),NL_zaans_87d8,Netherlands,Zaanstad,9,Microgramos por metro cúbico (µg/m³),155885
C5890534,Particulate matter (PM2.5),RO_braso_e29c,Romania,Brasov,14.8,Microgramos por metro cúbico (µg/m³),289360
C5890534,Particulate matter (PM2.5),CZ_zln_42b3,Czechia,Zlín,13.3,Microgramos por metro cúbico (µg/m³),74935
C5890534,Particulate matter (PM2.5),LV_riga_922f,Latvia,Riga,8.9,Microgramos por metro cúbico (µg/m³),621120
C5890534,Particulate matter (PM2.5),DK_aalbo_1f51,Denmark,Aalborg,7,Microgramos por metro cúbico (µg/m³),203448
C5890534,Particulate matter (PM2.5),NL_nijme_6d81,Netherlands,Nijmegen,8.7,Microgramos por metro cúbico (µg/m³),176731
C5890534,Particulate matter (PM2.5),FR_valen_2983,France,Valence,10.7,Microgramos por metro cúbico (µg/m³),94650
C5890534,Particulate matter (PM2.5),DE_weima_c35e,Germany,Weimar,8.4,Microgramos por metro cúbico (µg/m³),65228
C5890534,Particulate matter (PM2.5),ES_torre_1c60,Spain,Torrejón de Ardoz,9.3,Microgramos por metro cúbico (µg/m³),132853
C5890534,Particulate matter (PM2.5),DE_hanno_6ea9,Germany,Hannover,7.8,Microgramos por metro cúbico (µg/m³),536925
C5890534,Particulate matter (PM2.5),RO_galat_5ed3,Romania,Galati,8.5,Microgramos por metro cúbico (µg/m³),304050
C5890534,Particulate matter (PM2.5),NL_breda_f171,Netherlands,Breda,6.8,Microgramos por metro cúbico (µg/m³),183873
C5890534,Particulate matter (PM2.5),PL_gorzw_5038,Poland,Gorzów Wielkopolski,13.4,Microgramos por metro cúbico (µg/m³),123921
C5890534,Particulate matter (PM2.5),BE_namur_1f07,Belgium,Namur,9.2,Microgramos por metro cúbico (µg/m³),112125
C5890534,Particulate matter (PM2.5),PL_olszt_47b3,Poland,Olsztyn,12.5,Microgramos por metro cúbico (µg/m³),172362
C5890534,Particulate matter (PM2.5),IT_novar_4584,Italy,Novara,16.8,Microgramos por metro cúbico (µg/m³),103287
