gene_label,appears_in_seeds,seeds,n_predictions,mean_rank,best_rank,mean_confidence,std_confidence,diseases
POR,1,123,1,14.0,14,0.9745,0.0,Hyperplasia
GJB4,1,789,1,17.0,17,0.9743,0.0,Lung cancer panel
SELP,1,42,1,24.0,24,0.9738,0.0,Hyperplasia
RLN3,1,123,1,16.0,16,0.9733,0.0,Large cell carcinoma of lung
CCND1,1,789,1,18.0,18,0.9731,0.0,Hyperplasia
AQP5,1,1337,1,8.0,8,0.9723,0.0,"stage, non-small cell lung cancer"
AXL,1,456,1,22.0,22,0.9722,0.0,Lung cancer panel
CSF2,1,42,1,27.0,27,0.9721,0.0,"Adenocarcinoma, Oxyphilic"
MALAT1,1,1337,1,9.0,9,0.9721,0.0,Bronchioloalveolar Adenocarcinoma
IL13,1,456,1,23.0,23,0.972,0.0,Bronchioloalveolar Adenocarcinoma
CAPZB,1,1337,1,12.0,12,0.9714,0.0,"Adenocarcinoma, Oxyphilic"
FGFR2,1,123,1,19.0,19,0.9711,0.0,Lung cancer panel
HMGA2,1,456,1,24.0,24,0.9704,0.0,Carcinoid tumor of lung
CSN2,1,123,1,22.0,22,0.9702,0.0,"Adenocarcinoma, Oxyphilic"
TSC1,1,456,1,25.0,25,0.9702,0.0,Large cell carcinoma of lung
S100B,1,123,1,23.0,23,0.9701,0.0,Squamous non-small cell lung cancer
BRCA2,1,42,1,29.0,29,0.9694,0.0,"Adenocarcinoma, Oxyphilic"
NPC1,1,789,1,23.0,23,0.9688,0.0,Pulmonary Sclerosing Hemangioma
TSC2,1,42,1,30.0,30,0.9685,0.0,Large cell carcinoma of lung
NCOA3,1,789,1,24.0,24,0.9683,0.0,"Carcinoma, Spindle-Cell"
CTNNB1,1,1337,1,15.0,15,0.9682,0.0,Hyperplasia
RABEPK,1,789,1,25.0,25,0.9676,0.0,Pulmonary Sclerosing Hemangioma
CSK,1,123,1,25.0,25,0.9674,0.0,Large cell carcinoma of lung
MPO,1,456,1,27.0,27,0.9674,0.0,Lung cancer panel
COL11A1,1,123,1,26.0,26,0.9672,0.0,Small cell lung cancer extensive stage
CDX1,1,42,1,34.0,34,0.9665,0.0,"stage, non-small cell lung cancer"
MAPK1,1,789,1,26.0,26,0.9665,0.0,Lymphoepithelial carcinoma
MGMT,1,1337,1,16.0,16,0.9656,0.0,"stage, non-small cell lung cancer"
PIK3CB,1,1337,1,17.0,17,0.9651,0.0,Lung cancer panel
CD44,1,123,1,30.0,30,0.9647,0.0,large cell neuroendocrine carcinoma of lung
SERPINA1,1,123,1,29.0,29,0.9647,0.0,Squamous cell carcinoma of lung
GRP,1,789,1,29.0,29,0.9628,0.0,Small cell lung cancer extensive stage
CRTC1,1,123,1,36.0,36,0.9623,0.0,Small cell carcinoma of lung
COL2A1,1,123,1,37.0,37,0.9617,0.0,Lung cancer panel
PTEN,1,789,1,30.0,30,0.9613,0.0,Non-squamous non-small cell lung cancer
CD34,1,123,1,38.0,38,0.961,0.0,Squamous non-small cell lung cancer
MAP2K7,1,456,1,30.0,30,0.9599,0.0,Non-squamous non-small cell lung cancer
TNC,1,456,1,31.0,31,0.9598,0.0,Squamous non-small cell lung cancer
MEN1,1,123,1,40.0,40,0.9566,0.0,Metaplasia
HRAS,1,456,1,34.0,34,0.953,0.0,Non-squamous non-small cell lung cancer
FASLG,1,123,1,45.0,45,0.952,0.0,Lung Neoplasms
CTH,1,456,1,36.0,36,0.9519,0.0,Lung Neoplasms
RAD51,1,123,1,46.0,46,0.9516,0.0,Lung Neoplasms
NKX2-1,1,42,1,42.0,42,0.9493,0.0,Proteus Syndrome
KIF5B,1,789,1,39.0,39,0.9489,0.0,Carcinoid tumor of lung
SMUG1,1,456,1,40.0,40,0.9482,0.0,Small cell lung cancer extensive stage
PPARGC1A,1,42,1,44.0,44,0.948,0.0,Lung Neoplasms
NOTCH1,1,123,1,48.0,48,0.9458,0.0,Pulmonary lymphangioleiomyomatosis
