DiseaseName,DiseaseCode,Country,CountryCode,Gender,AgeGroup,Incidence,MortalityRate,Year
Malignant neoplasm of lung,C0242379,Spain,ES,Male,75-85+,366.7,343.7,2024
Malignant neoplasm of lung,C0242379,Sweden,SE,Female,0-14,0.1,0.0,2024
Malignant neoplasm of lung,C0242379,Sweden,SE,Female,15-29,0.9,0.0,2024
Malignant neoplasm of lung,C0242379,Sweden,SE,Female,30-44,0.7,1.1,2024
Malignant neoplasm of lung,C0242379,Sweden,SE,Female,45-59,19.4,7.7,2024
Malignant neoplasm of lung,C0242379,Sweden,SE,Female,60-74,135.9,88.5,2024
Malignant neoplasm of lung,C0242379,Sweden,SE,Female,75-85+,178.1,190.1,2024
Malignant neoplasm of lung,C0242379,Sweden,SE,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Sweden,SE,Male,15-29,0.8,0.8,2024
Malignant neoplasm of lung,C0242379,Sweden,SE,Male,30-44,0.6,0.0,2024
Malignant neoplasm of lung,C0242379,Sweden,SE,Male,45-59,13.1,5.3,2024
Malignant neoplasm of lung,C0242379,Sweden,SE,Male,60-74,107.2,71.4,2024
Malignant neoplasm of lung,C0242379,Sweden,SE,Male,75-85+,194.2,211.0,2024
