pollutant,country,sampling_point,station_name,municipality,latitude,longitude,station_area,annual_mean,n_observations,unit,agg_type,year
PM2.5,AT,SPO.06.170.56478.6001.1,Graz Süd Tiergartenweg,8020 Graz,47.04172,15.43308,suburban,15.6477,353,ug.m-3,day,2022
PM2.5,AT,SPO.06.170.56478.6001.1,Graz Süd Tiergartenweg,8020 Graz,47.04172,15.43308,suburban,15.8242,365,ug.m-3,day,2024
PM2.5,AT,SPO.08.0706.65163.6001.1,Lustenau Wiesenrain,6890 Lustenau,47.41016,9.65371,suburban,11.2300,365,ug.m-3,day,2014
PM2.5,AT,SPO.08.0706.65163.6001.1,Lustenau Wiesenrain,6890 Lustenau,47.41016,9.65371,suburban,12.2219,365,ug.m-3,day,2015
PM2.5,AT,SPO.08.0706.65163.6001.1,Lustenau Wiesenrain,6890 Lustenau,47.41016,9.65371,suburban,11.1205,365,ug.m-3,day,2016
PM2.5,AT,SPO.08.0706.65163.6001.1,Lustenau Wiesenrain,6890 Lustenau,47.41016,9.65371,suburban,10.3778,365,ug.m-3,day,2017
PM2.5,AT,SPO.08.0706.65163.6001.1,Lustenau Wiesenrain,6890 Lustenau,47.41016,9.65371,suburban,11.6506,362,ug.m-3,day,2018
PM2.5,AT,SPO.08.0706.65163.6001.1,Lustenau Wiesenrain,6890 Lustenau,47.41016,9.65371,suburban,10.7653,365,ug.m-3,day,2019
PM2.5,AT,SPO.08.0706.65163.6001.1,Lustenau Wiesenrain,6890 Lustenau,47.41016,9.65371,suburban,10.2669,366,ug.m-3,day,2020
PM2.5,AT,SPO.08.0706.65163.6001.1,Lustenau Wiesenrain,6890 Lustenau,47.41016,9.65371,suburban,9.8603,365,ug.m-3,day,2021
PM2.5,AT,SPO.08.0706.65163.6001.1,Lustenau Wiesenrain,6890 Lustenau,47.41016,9.65371,suburban,10.3314,365,ug.m-3,day,2022
PM2.5,AT,SPO.08.0706.65163.6001.1,Lustenau Wiesenrain,6890 Lustenau,47.41016,9.65371,suburban,9.4017,365,ug.m-3,day,2023
PM2.5,AT,SPO.08.0706.65163.6001.1,Lustenau Wiesenrain,6890 Lustenau,47.41016,9.65371,suburban,7.9433,363,ug.m-3,day,2024
PM2.5,AT,SPO.04.S404.68687.6001.1,Traun Tischlerstraße,4050 Traun,48.22535,14.23755,suburban,10.7458,358,ug.m-3,day,2024
