rank,Disease_label,Disease_uri,GeneFusion_label,GeneFusion_uri,confidence
1,Lung Adenocarcinoma In Situ,lucia:disease/C4521520,SQSTM1::NTRK2,lucia:gene_fusion/SQSTM1::NTRK2,0.4601
2,Fetal adenocarcinoma of lung,lucia:disease/C1708045,SQSTM1::NTRK2,lucia:gene_fusion/SQSTM1::NTRK2,0.1942
3,Lung Acinar Adenocarcinoma,lucia:disease/C1332137,SQSTM1::NTRK2,lucia:gene_fusion/SQSTM1::NTRK2,0.0634
4,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,TMEM87B::MERTK,lucia:gene_fusion/TMEM87B::MERTK,0.0116
5,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,SND1::BRAF,lucia:gene_fusion/SND1::BRAF,0.0082
6,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,CCSER1::MMRN1,lucia:gene_fusion/CCSER1::MMRN1,0.0074
7,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,SDC4::ROS1,lucia:gene_fusion/SDC4::ROS1,0.0062
8,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,LAMA3::RMC1,lucia:gene_fusion/LAMA3::RMC1,0.0061
9,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,THRA::PSMD3,lucia:gene_fusion/THRA::PSMD3,0.0061
10,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,CD74::ROS1,lucia:gene_fusion/CD74::ROS1,0.0054
11,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,EML4::ALK,lucia:gene_fusion/EML4::ALK,0.0052
12,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,LYST::NID1,lucia:gene_fusion/LYST::NID1,0.0038
13,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,EZR::ROS1,lucia:gene_fusion/EZR::ROS1,0.0035
14,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,ZSWIM4::YJU2B,lucia:gene_fusion/ZSWIM4::YJU2B,0.003
