rank,Disease_label,Disease_uri,Disease_label,Disease_uri,confidence,context
22,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Pseudosarcomatous carcinoma of lung,lucia:disease/C1708781,5.4505,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
23,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Carcinoid tumor of lung,lucia:disease/C0280089,5.3749,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
24,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Small cell lung cancer recurrent,lucia:disease/C0278727,5.2858,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
25,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Small cell lung cancer extensive stage,lucia:disease/C0278726,5.262,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
26,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,5.2166,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
27,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,5.2166,
28,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,large cell neuroendocrine carcinoma of lung,lucia:disease/C1334363,5.058,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
29,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Lymphoepithelial carcinoma,lucia:disease/C0334254,4.9998,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
30,Lymphoepithelial carcinoma,lucia:disease/C0334254,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,4.9998,
31,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Metaplasia,lucia:disease/C0025568,4.8865,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
32,Metaplasia,lucia:disease/C0025568,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,4.8865,
33,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Combined Lung Small Cell Carcinoma,lucia:disease/C1333125,4.6036,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
34,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Fetal adenocarcinoma of lung,lucia:disease/C1708045,4.5261,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
35,Proteus Syndrome,lucia:disease/C0085261,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,4.417,
36,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Proteus Syndrome,lucia:disease/C0085261,4.417,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
37,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Epidermal growth factor receptor positive non-small cell lung cancer,lucia:disease/C1960925,4.3843,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
