rank,Chemical_label,Chemical_uri,GeoPoliticalRegion_label,GeoPoliticalRegion_uri,confidence,context
40,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Pabianice,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/PL_pabianice,3.9287,exposure_in -> Ostrava; exposure_in -> Gieen; exposure_in -> Via Antona Traversi 10 - Sannazzaro De' Burgondi (Pv)
41,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Nidzica,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/PL_nidzica,3.9249,exposure_in -> Ostrava; exposure_in -> Gieen; exposure_in -> Via Antona Traversi 10 - Sannazzaro De' Burgondi (Pv)
42,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Viale Roma 7/E,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_viale_roma_7_e,3.9239,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
43,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Sylt,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/DE_sylt,3.9233,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
44,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Nuraminis,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_nuraminis,3.922,exposure_in -> Ostrava; exposure_in -> Gieen; exposure_in -> Via Antona Traversi 10 - Sannazzaro De' Burgondi (Pv)
45,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Katowice,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/PL_katowice,3.9135,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
46,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Szazhalombatta,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/HU_szazhalombatta,3.9116,exposure_in -> Ostrava; exposure_in -> Gieen; exposure_in -> Via Antona Traversi 10 - Sannazzaro De' Burgondi (Pv)
47,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Freiberg,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/DE_freiberg,3.9099,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
48,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Linea De La Concepcion (La),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/ES_linea_de_la_concepcion_la,3.8894,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
49,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Morella,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/ES_morella,3.8879,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
50,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Trapani; Viale Marche N.4 C/O Villa Comunale,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_trapani_viale_marche_n_4_c_o_villa_comunale,3.8862,exposure_in -> Ostrava; exposure_in -> Gieen; exposure_in -> Via Antona Traversi 10 - Sannazzaro De' Burgondi (Pv)
