rank,GeoPoliticalRegion_label,GeoPoliticalRegion_uri,Country_label,Country_uri,confidence,context
38,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,Bosnia and Herzegovina,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/BA,10.9877,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
39,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,Slovakia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/SK,10.8982,part_of -> Italy; measured_in -> 2013
40,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,Austria,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/AT,10.6427,part_of -> Italy; measured_in -> 2013
41,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,10.1448,part_of -> Italy; measured_in -> 2013
42,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,Netherlands,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/NL,9.8733,part_of -> Italy; measured_in -> 2013
43,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,Latvia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/LV,9.645,part_of -> Italy; measured_in -> 2013
44,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,Slovenia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/SI,9.611,part_of -> Italy; measured_in -> 2013
45,Kocevje,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/SI_kocevje,Italy,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/IT,9.4447,part_of -> Slovenia; measured_in -> 2019; measured_in -> 2018
46,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,Lithuania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/LT,9.3988,part_of -> Italy; measured_in -> 2013
47,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,Sweden,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/SE,9.3719,part_of -> Italy; measured_in -> 2013
48,Kocevje,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/SI_kocevje,Poland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/PL,9.3641,part_of -> Slovenia; measured_in -> 2019; measured_in -> 2018
49,Bursa,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/TR_bursa,Slovenia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/SI,9.0425,part_of -> Turkey; measured_in -> 2019; measured_in -> 2018
50,Kocevje,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/SI_kocevje,Slovakia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/SK,8.9841,part_of -> Slovenia; measured_in -> 2019; measured_in -> 2018
