rank,Country_label,Country_uri,CalendarYear_label,CalendarYear_uri,confidence,context
25,Slovakia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/SK,2012,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2012,14.3494,cancer_data_in -> 2006; cancer_data_in -> 1980; cancer_data_in -> 1993
26,Slovakia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/SK,2011,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2011,14.3476,cancer_data_in -> 2006; cancer_data_in -> 1980; cancer_data_in -> 1993
27,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,2016,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2016,14.3278,cancer_data_in -> 2024
28,Slovakia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/SK,2013,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2013,14.3001,cancer_data_in -> 2006; cancer_data_in -> 1980; cancer_data_in -> 1993
29,Latvia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/LV,2018,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2018,14.2712,cancer_data_in -> 2006; cancer_data_in -> 2015; cancer_data_in -> 2005
30,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,2017,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2017,14.2615,cancer_data_in -> 2024
31,Romania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/RO,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,14.2563,cancer_data_in -> 2024
32,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,2009,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2009,14.244,cancer_data_in -> 2024
33,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,2011,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2011,14.2276,cancer_data_in -> 2024
34,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,2012,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2012,14.2273,cancer_data_in -> 2024
35,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,2015,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2015,14.2163,cancer_data_in -> 2024
36,France,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/FR,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,14.1802,cancer_data_in -> 2024
37,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,2014,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2014,14.1774,cancer_data_in -> 2024
38,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,2010,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2010,14.1306,cancer_data_in -> 2024
39,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,2013,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2013,14.1271,cancer_data_in -> 2024
40,Romania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/RO,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,14.0615,cancer_data_in -> 2024
41,Croatia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HR,2000,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2000,14.0362,cancer_data_in -> 2019; cancer_data_in -> 2006; cancer_data_in -> 2015
42,Spain,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/ES,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,13.9689,cancer_data_in -> 2024
43,France,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/FR,2019,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2019,13.9688,cancer_data_in -> 2024
44,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,2007,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2007,13.9538,cancer_data_in -> 2024
45,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,2008,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2008,13.9407,cancer_data_in -> 2024
46,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,2005,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2005,13.9351,cancer_data_in -> 2024
47,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,2006,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2006,13.9347,cancer_data_in -> 2024
48,Romania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/RO,2019,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2019,13.8501,cancer_data_in -> 2024
49,Lithuania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/LT,1990,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/1990,13.8045,cancer_data_in -> 2019; cancer_data_in -> 2006; cancer_data_in -> 1993
50,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,2004,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2004,13.767,cancer_data_in -> 2024
