rank,GeographicRegion_label,GeographicRegion_uri,Country_label,Country_uri,confidence,context
28,Wales,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_wales,Spain,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/ES,18.8556,part_of -> United Kingdom; measured_in -> 2000; measured_in -> 2009
29,Northern Ireland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_northern_ireland,Poland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/PL,18.8499,part_of -> United Kingdom; measured_in -> 2000; measured_in -> 2009
30,Rhineland-Palatinate,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_rhineland_palatinate,Italy,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/IT,18.8257,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
31,Balearic Islands,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_balearic_islands,Italy,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/IT,18.8226,part_of -> Spain; measured_in -> 2000; measured_in -> 2009
32,Veneto,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_veneto,Poland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/PL,18.8084,part_of -> Italy; measured_in -> 2000; measured_in -> 2009
33,North Rhine-Westphalia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_north_rhine_westphalia,Romania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/RO,18.7943,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
34,Asturias,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_asturias,Germany,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/DE,18.7883,part_of -> Spain; measured_in -> 2000; measured_in -> 2009
35,North Rhine-Westphalia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_north_rhine_westphalia,France,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/FR,18.7548,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
36,Rhineland-Palatinate,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_rhineland_palatinate,Poland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/PL,18.7506,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
37,Wales,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_wales,Poland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/PL,18.7498,part_of -> United Kingdom; measured_in -> 2000; measured_in -> 2009
38,Saarland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_saarland,France,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/FR,18.7093,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
