rank,Disease_label,Disease_uri,GeographicRegion_label,GeographicRegion_uri,confidence,context
31,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Bergamo,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_bergamo,10.2493,subtype_of -> Malignant neoplasm of lung
32,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,Sondrio,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_sondrio,10.2053,subtype_of -> Malignant neoplasm of lung
33,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,Naples North,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_naples_north,10.1621,subtype_of -> Malignant neoplasm of lung
34,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,Liguria,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_liguria,10.1545,subtype_of -> Malignant neoplasm of lung
35,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Aosta Valley,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_aosta_valley,10.1222,subtype_of -> Malignant neoplasm of lung
36,Small cell carcinoma of lung,lucia:disease/C0149925,Bremen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bremen,10.055,subtype_of -> Malignant neoplasm of lung
37,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Lower Saxony,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_lower_saxony,9.9373,subtype_of -> Malignant neoplasm of lung
38,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,Pavia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_pavia,9.8913,subtype_of -> Malignant neoplasm of lung
39,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Basque Country,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_basque_country,9.7762,subtype_of -> Malignant neoplasm of lung
40,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Rhineland-Palatinate,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_rhineland_palatinate,9.7646,subtype_of -> Malignant neoplasm of lung
