rank,Chemical_label,Chemical_uri,GeoPoliticalRegion_label,GeoPoliticalRegion_uri,confidence,context
23,Benzene,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Isbergues,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/FR_isbergues,6.4018,exposure_in -> Reinheim; exposure_in -> Valiug; exposure_in -> Malmo
24,Benzene,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Ugine,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/FR_ugine,6.3626,exposure_in -> Reinheim; exposure_in -> Valiug; exposure_in -> Malmo
25,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Bagneaux-Sur-Loing,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/FR_bagneaux_sur_loing,6.3596,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
26,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Beerse,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/BE_beerse,6.3453,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
27,"Particulate matter (PM10, Cadmium)",http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C1720884_10_Cd,Rieme (Evergem),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/BE_rieme_evergem,6.3447,exposure_in -> Port-Jerome-Sur-Seine; exposure_in -> Kutno; exposure_in -> Linden
28,"Particulate matter (PM10, Nickel)",http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C1720884_10_Ni,Houtem (W.-Vl.),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/BE_houtem_w_vl,6.2776,exposure_in -> Ciampino; exposure_in -> Zafra; exposure_in -> Meda
29,Benzene,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Houtem (W.-Vl.),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/BE_houtem_w_vl,6.2748,exposure_in -> Reinheim; exposure_in -> Valiug; exposure_in -> Malmo
30,"Particulate matter (PM10, Lead)",http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C1720884_10_Pb,Rieme (Evergem),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/BE_rieme_evergem,6.2697,exposure_in -> Kiel; exposure_in -> Cerceda; exposure_in -> Villaharta
31,"Particulate matter (PM10, Arsenic)",http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C1720884_10_As,Rieme (Evergem),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/BE_rieme_evergem,6.2588,exposure_in -> Tiana; exposure_in -> Gdansk; exposure_in -> Via Serrone ? Guardia Perticara (Pz)
32,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Ath,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/BE_ath,6.2201,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
