rank,GeoPoliticalRegion_label,GeoPoliticalRegion_uri,CalendarYear_label,CalendarYear_uri,confidence,context
31,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,2015,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2015,13.2699,part_of -> Italy; measured_in -> 2013
32,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,1983,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/1983,13.2599,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
33,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,2014,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2014,13.254,part_of -> Italy; measured_in -> 2013
34,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,2017,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2017,13.1759,part_of -> Italy; measured_in -> 2013
35,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,2016,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2016,13.1379,part_of -> Italy; measured_in -> 2013
36,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,2019,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2019,13.0554,part_of -> Italy; measured_in -> 2013
37,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,13.0199,part_of -> Italy; measured_in -> 2013
38,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,2018,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2018,12.9447,part_of -> Italy; measured_in -> 2013
39,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,2012,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2012,12.8365,part_of -> Italy; measured_in -> 2013
40,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,1981,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/1981,12.8096,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
41,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,2011,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2011,12.7666,part_of -> Italy; measured_in -> 2013
42,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,2009,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2009,12.6272,part_of -> Italy; measured_in -> 2013
43,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,2010,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2010,12.6197,part_of -> Italy; measured_in -> 2013
44,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,1980,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/1980,12.614,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
45,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,2008,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2008,12.511,part_of -> Italy; measured_in -> 2013
46,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,12.4405,part_of -> Italy; measured_in -> 2013
47,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,2007,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2007,12.3881,part_of -> Italy; measured_in -> 2013
48,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,2006,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2006,12.1869,part_of -> Italy; measured_in -> 2013
49,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,2004,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2004,12.0628,part_of -> Italy; measured_in -> 2013
50,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,2005,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2005,12.0129,part_of -> Italy; measured_in -> 2013
