rank,Chemical_label,Chemical_uri,GeographicRegion_label,GeographicRegion_uri,confidence,context
20,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Bavaria,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bavaria,6.444,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
21,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Liguria,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_liguria,6.3874,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
22,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Schleswig-Holstein,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_schleswig_holstein,6.3814,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
23,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Basilicata,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_basilicata,6.3744,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
24,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Bremen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bremen,6.3641,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
25,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Emilia-Romagna,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_emilia_romagna,6.3443,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
26,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Canary Islands,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_canary_islands,6.3259,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
27,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Murcia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_murcia,6.271,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
28,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Scotland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_scotland,6.2431,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
29,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Saarland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_saarland,6.2225,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
30,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Baden-Württemberg,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_baden_wurttemberg,6.2189,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
31,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,North Rhine-Westphalia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_north_rhine_westphalia,6.1945,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
32,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Lower Saxony,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_lower_saxony,6.1673,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
33,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Piedmont,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_piedmont,6.1446,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
34,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Veneto,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_veneto,6.1016,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
35,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Wales,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_wales,6.0994,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
36,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Umbria,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_umbria,6.0867,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
37,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Basque Country,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_basque_country,6.0695,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
38,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Friuli-Venezia Giulia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_friuli_venezia_giulia,6.0669,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
39,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Navarra,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_navarra,6.0555,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
40,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Hamburg,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_hamburg,6.0521,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
41,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Central Switzerland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/CH_central_switzerland,6.0125,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
42,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Asturias,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_asturias,5.9931,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
43,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Ticino,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/CH_ticino,5.9892,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
44,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Northern Ireland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_northern_ireland,5.9718,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
45,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Lazio,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_lazio,5.935,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
46,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Balearic Islands,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_balearic_islands,5.9073,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
47,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Rhineland-Palatinate,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_rhineland_palatinate,5.906,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
48,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Bavaria,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bavaria,5.895,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
49,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,La Rioja,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_la_rioja,5.8865,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
50,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Aosta Valley,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_aosta_valley,5.8459,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
