rank,Gene_label,Gene_uri,Disease_label,Disease_uri,confidence,context
33,EPHB2,lucia:gene/ncbigene:2048,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.3077,associated_with -> Lung Neoplasms; associated_with -> Adenocarcinoma of lung (disorder); associated_with -> Small cell carcinoma of lung
34,APEX1,lucia:gene/ncbigene:328,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.3064,associated_with -> Lung Neoplasms; associated_with -> Hyperplasia; associated_with -> Lung cancer panel
35,KIT,lucia:gene/ncbigene:3815,Hyperplasia,lucia:disease/C0020507,4.3045,associated_with -> Lung cancer panel; associated_with -> Lung Neoplasms; associated_with -> Squamous cell carcinoma of lung
36,CDKN2C,lucia:gene/ncbigene:1031,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.3037,associated_with -> Malignant neoplasm of lung; associated_with -> Non-Small Cell Lung Carcinoma; in_pathway -> WP179
37,ABCB1,lucia:gene/ncbigene:5243,Squamous non-small cell lung cancer,lucia:disease/C4509816,4.3001,associated_with -> Lung Neoplasms; associated_with -> Squamous cell carcinoma of lung; associated_with -> Non-Small Cell Lung Carcinoma
38,ABCB1,lucia:gene/ncbigene:5243,Lymphoepithelial carcinoma,lucia:disease/C0334254,4.2962,associated_with -> Lung Neoplasms; associated_with -> Squamous cell carcinoma of lung; associated_with -> Non-Small Cell Lung Carcinoma
39,BRCA1,lucia:gene/ncbigene:672,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.292,associated_with -> Lung Neoplasms; associated_with -> Adenocarcinoma of lung (disorder); associated_with -> Small cell carcinoma of lung
40,ABCC2,lucia:gene/ncbigene:1244,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,4.2875,associated_with -> Lung Neoplasms; associated_with -> Small cell carcinoma of lung; associated_with -> Malignant neoplasm of lung
41,IL12B,lucia:gene/ncbigene:3593,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,4.2799,associated_with -> Lung cancer panel; associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Lung Carcinoma Metastatic in the Brain
42,CD274,lucia:gene/ncbigene:29126,Metaplasia,lucia:disease/C0025568,4.2735,associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Lung cancer panel; associated_with -> Lung Neoplasms
43,ABCC2,lucia:gene/ncbigene:1244,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.2711,associated_with -> Lung Neoplasms; associated_with -> Small cell carcinoma of lung; associated_with -> Malignant neoplasm of lung
44,CSF1R,lucia:gene/ncbigene:1436,Lung Neoplasms,lucia:disease/C0024121,4.271,associated_with -> Squamous cell carcinoma of lung; associated_with -> Lung cancer panel; associated_with -> Small cell carcinoma of lung
45,IL12B,lucia:gene/ncbigene:3593,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.2624,associated_with -> Lung cancer panel; associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Lung Carcinoma Metastatic in the Brain
46,PIK3CG,lucia:gene/ncbigene:5294,Hyperplasia,lucia:disease/C0020507,4.2489,associated_with -> Proteus Syndrome; associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma
47,PIK3CB,lucia:gene/ncbigene:5291,Hyperplasia,lucia:disease/C0020507,4.2417,associated_with -> Lung Neoplasms; associated_with -> Squamous cell carcinoma of lung; associated_with -> Proteus Syndrome
48,STK11,lucia:gene/ncbigene:6794,Hyperplasia,lucia:disease/C0020507,4.2411,associated_with -> Lung cancer panel; associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma
49,CYP1B1,lucia:gene/ncbigene:1545,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.2373,associated_with -> Lung Neoplasms; associated_with -> Adenocarcinoma of lung (disorder); associated_with -> Malignant neoplasm of lung
50,CBR1,lucia:gene/ncbigene:873,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,4.2352,associated_with -> Squamous cell carcinoma of lung; associated_with -> Lung Neoplasms; associated_with -> Small cell carcinoma of lung
