rank,Gene_label,Gene_uri,Disease_label,Disease_uri,confidence,context
34,LOX,lucia:gene/ncbigene:4015,Squamous cell carcinoma of lung,lucia:disease/C0149782,3.6689,associated_with -> Lung cancer panel; associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma
35,ABCC4,lucia:gene/ncbigene:10257,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,3.6674,associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Small cell carcinoma of lung
36,AKT2,lucia:gene/ncbigene:208,Squamous cell carcinoma of lung,lucia:disease/C0149782,3.6637,associated_with -> Lung Neoplasms; associated_with -> Small cell carcinoma of lung; associated_with -> Adenocarcinoma of lung (disorder)
37,ATG3,lucia:gene/ncbigene:64422,Squamous cell carcinoma of lung,lucia:disease/C0149782,3.642,associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Adenocarcinoma of lung (disorder); associated_with -> Malignant neoplasm of lung
38,EIF3E,lucia:gene/ncbigene:3646,Squamous cell carcinoma of lung,lucia:disease/C0149782,3.63,associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Adenocarcinoma of lung (disorder)
39,PIK3R1,lucia:gene/ncbigene:5295,Lung Neoplasms,lucia:disease/C0024121,3.6242,"associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Small cell carcinoma of lung; associated_with -> Carcinoma, Spindle-Cell"
40,RAF1,lucia:gene/ncbigene:5894,Squamous cell carcinoma of lung,lucia:disease/C0149782,3.6232,associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Adenocarcinoma of lung (disorder)
41,CXCR2,lucia:gene/ncbigene:3579,Squamous cell carcinoma of lung,lucia:disease/C0149782,3.6181,associated_with -> Lung cancer panel; associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma
42,RB1,lucia:gene/ncbigene:5925,Squamous cell carcinoma of lung,lucia:disease/C0149782,3.6078,associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Small cell carcinoma of lung
43,ICAM1,lucia:gene/ncbigene:3383,Squamous cell carcinoma of lung,lucia:disease/C0149782,3.6017,associated_with -> Lung cancer panel; associated_with -> Lung Neoplasms; associated_with -> Adenocarcinoma of lung (disorder)
44,PON1,lucia:gene/ncbigene:5444,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,3.5854,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Non-Small Cell Lung Carcinoma
45,ATG5,lucia:gene/ncbigene:9474,Squamous cell carcinoma of lung,lucia:disease/C0149782,3.5774,associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Adenocarcinoma of lung (disorder)
46,SLIT2,lucia:gene/ncbigene:9353,Squamous cell carcinoma of lung,lucia:disease/C0149782,3.5557,associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Adenocarcinoma of lung (disorder)
47,TSC2,lucia:gene/ncbigene:7249,Small cell carcinoma of lung,lucia:disease/C0149925,3.5466,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Proteus Syndrome
48,RAD50,lucia:gene/ncbigene:10111,Squamous cell carcinoma of lung,lucia:disease/C0149782,3.5287,associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Malignant neoplasm of lung; associated_with -> Lung Carcinoma Metastatic in the Brain
49,PIK3R1,lucia:gene/ncbigene:5295,Lung cancer panel,lucia:disease/C0024115,3.5182,"associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Small cell carcinoma of lung; associated_with -> Carcinoma, Spindle-Cell"
50,MTHFR,lucia:gene/ncbigene:4524,Squamous cell carcinoma of lung,lucia:disease/C0149782,3.5044,associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Small cell carcinoma of lung
