"Country";"Mortality - Male";"Mortality - Female"
"Hungary";"353.4";"184.9"
"Poland";"307.5";"139.9"
"Romania";"284.0";"63.8"
"Greece";"283.9";"65.6"
"Croatia";"273.1";"114.3"
"Latvia";"259.3";"49.8"
"Lithuania";"249.0";"40.1"
"Estonia";"244.7";"51.2"
"Bulgaria";"242.2";"57.0"
"Cyprus";"224.9";"55.2"
"Portugal";"221.4";"45.3"
"Slovakia";"207.9";"68.0"
"EU-27";"206.1";"94.4"
"Spain";"205.5";"64.4"
"France";"202.4";"86.4"
"Slovenia";"196.6";"113.4"
"Czechia";"190.1";"88.6"
"Germany";"188.2";"109.5"
"Belgium";"175.0";"96.1"
"Italy";"173.8";"74.2"
"Netherlands";"158.1";"151.8"
"Denmark";"156.6";"158.4"
"Austria";"154.7";"101.9"
"Luxembourg";"142.5";"88.5"
"Ireland";"128.9";"100.1"
"Malta";"126.4";"48.5"
"Finland";"126.1";"66.6"
"Sweden";"71.4";"88.5"

2024 estimates: Incidence/mortality by sex
Mortality, EU-27, Trachea, bronchus and lung, Both sexes, 60 to 74 years, 2024

Notes:
"Age-Standardised Rate (European 2013) per 100,000"

Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu, accessed on 03-03-2026
(c) European Union, 2026
