"Country";"Incidence - Male";"Incidence - Female"
"Hungary";"409.6";"219.3"
"Poland";"342.1";"184.3"
"Greece";"332.7";"88.5"
"Croatia";"330.8";"152.2"
"Latvia";"330.0";"60.5"
"Estonia";"301.5";"81.4"
"Romania";"297.9";"72.3"
"Slovenia";"288.1";"170.7"
"Bulgaria";"278.4";"66.9"
"Belgium";"275.2";"175.3"
"Cyprus";"272.3";"71.8"
"France";"267.8";"126.9"
"Lithuania";"267.4";"52.1"
"Germany";"264.0";"154.5"
"EU-27";"261.6";"133.9"
"Spain";"251.7";"95.1"
"Czechia";"247.7";"125.8"
"Denmark";"237.4";"264.5"
"Slovakia";"236.5";"79.8"
"Portugal";"236.3";"66.9"
"Italy";"227.5";"105.8"
"Netherlands";"225.9";"240.6"
"Ireland";"193.5";"172.5"
"Austria";"190.0";"139.6"
"Luxembourg";"187.2";"126.8"
"Malta";"168.5";"72.9"
"Finland";"155.0";"95.4"
"Sweden";"107.2";"135.9"

2024 estimates: Incidence/mortality by sex
Incidence, EU-27, Trachea, bronchus and lung, Both sexes, 60 to 74 years, 2024

Notes:
"Age-Standardised Rate (European 2013) per 100,000"

Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu, accessed on 03-03-2026
(c) European Union, 2026
