"Country";"Incidence - Male";"Incidence - Female"
"Romania";"159.8";"39.2"
"Poland";"102.8";"35.4"
"Bulgaria";"98.8";"30.4"
"Hungary";"93.5";"60.2"
"Croatia";"92.7";"54.4"
"Lithuania";"88.2";"18.4"
"Portugal";"82.8";"31.2"
"Greece";"79.9";"30.0"
"France";"76.3";"44.3"
"Slovenia";"75.2";"55.0"
"EU-27";"62.8";"38.3"
"Belgium";"62.8";"61.1"
"Slovakia";"55.8";"24.2"
"Spain";"55.5";"33.2"
"Cyprus";"55.3";"25.9"
"Estonia";"53.8";"20.6"
"Austria";"52.1";"44.8"
"Netherlands";"49.7";"52.7"
"Latvia";"47.9";"21.2"
"Germany";"46.4";"49.2"
"Ireland";"38.5";"39.1"
"Italy";"38.3";"22.3"
"Luxembourg";"37.3";"29.2"
"Denmark";"32.3";"50.3"
"Malta";"31.8";"24.2"
"Czechia";"27.6";"29.3"
"Finland";"24.6";"19.2"
"Sweden";"13.1";"19.4"

2024 estimates: Incidence/mortality by sex
Incidence, EU-27, Trachea, bronchus and lung, Both sexes, 45 to 59 years, 2024

Notes:
"Age-Standardised Rate (European 2013) per 100,000"

Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu, accessed on 03-03-2026
(c) European Union, 2026
