"Country";"Mortality - Male";"Mortality - Female"
"Romania";"96.7";"26.7"
"Hungary";"70.8";"41.5"
"Croatia";"69.4";"36.8"
"Latvia";"63.5";"10.5"
"Bulgaria";"62.2";"25.1"
"Portugal";"61.6";"18.6"
"Slovenia";"55.7";"26.7"
"Poland";"54.7";"25.3"
"Greece";"51.9";"18.7"
"Lithuania";"47.2";"10.1"
"France";"46.4";"23.4"
"Cyprus";"46.2";"16.0"
"Estonia";"43.0";"9.9"
"EU-27";"38.1";"21.9"
"Slovakia";"36.1";"17.1"
"Belgium";"31.5";"24.0"
"Austria";"29.7";"20.7"
"Netherlands";"29.0";"29.9"
"Spain";"28.3";"20.3"
"Germany";"27.8";"27.0"
"Italy";"26.2";"13.8"
"Luxembourg";"25.2";"17.5"
"Ireland";"22.8";"15.4"
"Czechia";"22.8";"13.4"
"Malta";"22.0";"13.2"
"Denmark";"20.5";"22.5"
"Finland";"20.1";"9.5"
"Sweden";"5.3";"7.7"

2024 estimates: Incidence/mortality by sex
Mortality, EU-27, Trachea, bronchus and lung, Both sexes, 45 to 59 years, 2024

Notes:
"Age-Standardised Rate (European 2013) per 100,000"

Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu, accessed on 03-03-2026
(c) European Union, 2026
