rank,Gene_label,Gene_uri,Pathway_label,Pathway_uri,confidence
1,CFH,lucia:gene/ncbigene:3075,WP1818,lucia:pathway/WP1818,0.998
2,PLCD3,lucia:gene/ncbigene:113026,WP2747,lucia:pathway/WP2747,0.9977
3,SBF1,lucia:gene/ncbigene:6305,WP4071,lucia:pathway/WP4071,0.9975
4,RAB17,lucia:gene/ncbigene:64284,WP4098,lucia:pathway/WP4098,0.9972
5,AIFM1,lucia:gene/ncbigene:9131,WP1904,lucia:pathway/WP1904,0.9968
6,LPAR3,lucia:gene/ncbigene:23566,WP455,lucia:pathway/WP455,0.9966
7,AKR1C3,lucia:gene/ncbigene:8644,WP43,lucia:pathway/WP43,0.9963
8,POR,lucia:gene/ncbigene:5447,WP704,lucia:pathway/WP704,0.9962
9,FUS,lucia:gene/ncbigene:2521,WP2672,lucia:pathway/WP2672,0.9961
10,FABP3,lucia:gene/ncbigene:2170,WP143,lucia:pathway/WP143,0.9958
11,KCNN3,lucia:gene/ncbigene:3782,WP3608,lucia:pathway/WP3608,0.9957
12,POR,lucia:gene/ncbigene:5447,WP5488,lucia:pathway/WP5488,0.9955
13,TUT4,lucia:gene/ncbigene:23318,WP3797,lucia:pathway/WP3797,0.9953
14,FABP3,lucia:gene/ncbigene:2170,WP5123,lucia:pathway/WP5123,0.9951
15,AKR1C3,lucia:gene/ncbigene:8644,WP4085,lucia:pathway/WP4085,0.995
16,UQCR10,lucia:gene/ncbigene:29796,WP4324,lucia:pathway/WP4324,0.995
17,ADRA1D,lucia:gene/ncbigene:146,WP4993,lucia:pathway/WP4993,0.9948
18,IFNA21,lucia:gene/ncbigene:3452,WP5473,lucia:pathway/WP5473,0.9948
19,RAB17,lucia:gene/ncbigene:64284,WP2679,lucia:pathway/WP2679,0.9947
20,SFTPA1,lucia:gene/ncbigene:653509,WP2799,lucia:pathway/WP2799,0.9946
21,ADRA1D,lucia:gene/ncbigene:146,WP4422,lucia:pathway/WP4422,0.9945
22,HMGCL,lucia:gene/ncbigene:3155,WP5241,lucia:pathway/WP5241,0.9943
23,AKR1C3,lucia:gene/ncbigene:8644,WP2749,lucia:pathway/WP2749,0.9943
24,ADRA1D,lucia:gene/ncbigene:146,WP4427,lucia:pathway/WP4427,0.994
25,RAB24,lucia:gene/ncbigene:53917,WP3578,lucia:pathway/WP3578,0.9938
26,UGT1A6,lucia:gene/ncbigene:54578,WP5368,lucia:pathway/WP5368,0.9937
27,GRK2,lucia:gene/ncbigene:156,WP1885,lucia:pathway/WP1885,0.9937
28,RAB17,lucia:gene/ncbigene:64284,WP5504,lucia:pathway/WP5504,0.9936
29,RAB24,lucia:gene/ncbigene:53917,WP4065,lucia:pathway/WP4065,0.9936
30,ACSM5,lucia:gene/ncbigene:54988,WP702,lucia:pathway/WP702,0.9936
31,SRR,lucia:gene/ncbigene:63826,WP4210,lucia:pathway/WP4210,0.9936
32,SH3GL1,lucia:gene/ncbigene:6455,WP2747,lucia:pathway/WP2747,0.9933
33,FABP3,lucia:gene/ncbigene:2170,WP4034,lucia:pathway/WP4034,0.9933
34,AIFM1,lucia:gene/ncbigene:9131,WP3380,lucia:pathway/WP3380,0.9931
35,UQCR10,lucia:gene/ncbigene:29796,WP623,lucia:pathway/WP623,0.993
36,SFTPA1,lucia:gene/ncbigene:653509,WP4110,lucia:pathway/WP4110,0.993
37,AIFM1,lucia:gene/ncbigene:9131,WP2670,lucia:pathway/WP2670,0.9929
38,SPOP,lucia:gene/ncbigene:8405,WP1842,lucia:pathway/WP1842,0.9929
39,RAET1G,lucia:gene/ncbigene:353091,WP5505,lucia:pathway/WP5505,0.9928
40,SH3GL1,lucia:gene/ncbigene:6455,WP4971,lucia:pathway/WP4971,0.9928
41,HCAR1,lucia:gene/ncbigene:27198,WP3608,lucia:pathway/WP3608,0.9927
42,SRR,lucia:gene/ncbigene:63826,WP465,lucia:pathway/WP465,0.9926
43,NLGN4X,lucia:gene/ncbigene:57502,WP3810,lucia:pathway/WP3810,0.9925
44,ADRA1D,lucia:gene/ncbigene:146,WP4423,lucia:pathway/WP4423,0.9924
45,PCYT1A,lucia:gene/ncbigene:5130,WP2670,lucia:pathway/WP2670,0.9924
46,H2AB1,lucia:gene/ncbigene:474382,WP4320,lucia:pathway/WP4320,0.9924
47,UGT1A6,lucia:gene/ncbigene:54578,WP716,lucia:pathway/WP716,0.9922
48,SBF1,lucia:gene/ncbigene:6305,WP2741,lucia:pathway/WP2741,0.9922
49,SH3GL1,lucia:gene/ncbigene:6455,WP5411,lucia:pathway/WP5411,0.9922
50,GALNT16,lucia:gene/ncbigene:57452,WP1785,lucia:pathway/WP1785,0.9922
